player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Mikel Oyarzabal,DT,10,real sociedad,espanyol,1,71,0,1,0.1,0.3,1,1,0,22,86.4,0,0,0.0,0.0,0.0,7,0,1,0,1,0,0,0,0,0,0,0,14,63.0,40.0,1,0,1,0.0,25_26,2,24/08/2025,1,"[{'penaltis_marcados': [2, 3.0]}]"
Brais Méndez,MC,23,real sociedad,espanyol,0,19,0,0,0.3,0.0,2,1,1,11,72.7,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,9,50.0,27.0,2,1,0,100.0,25_26,2,24/08/2025,1,[]
Ander Barrenetxea,MC,7,real sociedad,espanyol,1,79,1,0,0.2,0.1,4,2,2,30,76.7,0,0,0.0,0.0,0.0,11,0,0,0,0,1,0,1,0,5,1,2,29,152.0,71.0,3,2,1,66.7,25_26,2,24/08/2025,1,"[{'regates_exitosos': [7, 32.0]}]"
Gonçalo Guedes,MC,11,real sociedad,espanyol,0,11,0,0,0.0,0.0,1,1,0,9,77.8,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,1,1,5,48.0,0.0,0,1,0,100.0,25_26,2,24/08/2025,1,[]
Pablo Marín,MC,28,real sociedad,espanyol,1,90,0,0,0.0,0.0,0,0,0,35,74.3,0,0,0.0,0.0,0.0,1,1,2,0,2,0,0,0,1,2,0,2,32,142.0,86.0,2,1,1,50.0,25_26,2,24/08/2025,1,[]
Luka Sučić,MC,24,real sociedad,espanyol,1,55,0,0,0.0,0.1,0,0,0,17,76.5,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14,55.0,29.0,1,0,1,0.0,25_26,2,24/08/2025,1,[]
Orri Steinn Óskarsson,DT,9,real sociedad,espanyol,0,35,1,0,0.2,0.3,1,0,1,6,66.7,0,0,0.0,0.0,0.0,9,1,0,0,0,0,0,0,0,0,0,0,6,5.0,0.0,0,0,2,0.0,25_26,2,24/08/2025,1,[]
Takefusa Kubo,MC,14,real sociedad,espanyol,1,90,0,0,0.2,0.1,2,1,1,44,77.3,0,0,0.0,0.0,0.0,5,0,1,0,1,1,0,1,1,3,1,1,44,354.0,182.0,7,0,1,0.0,25_26,2,24/08/2025,1,"[{'pases_clave': [6, 58.0]}]"
Beñat Turrientes,MC,8,real sociedad,espanyol,1,55,0,0,0.0,0.0,1,1,0,42,88.1,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,1,0,1,28,105.0,37.0,0,0,0,0.0,25_26,2,24/08/2025,1,[]
Jon Gorrotxategi,MC,4,real sociedad,espanyol,0,35,0,0,0.0,0.0,0,0,0,22,86.4,1,0,0.0,0.0,0.0,2,2,2,0,1,0,0,0,0,1,0,1,20,126.0,74.0,1,1,0,100.0,25_26,2,24/08/2025,1,"[{'intercepciones': [3, 25.0]}, {'amarillas': [4, 6.0]}]"
