player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Juanmi,DT,24,getafe,las palmas,1,56,0,0,0.7,0.0,2,0,2,12,91.7,0,0,0.0,0.0,0.0,2,3,4,0,2,0,0,0,0,1,1,0,8,26.0,13.0,0,0,0,0.0,24_25,31,12/04/2025,1,[]
Allan Nyom,DF,12,getafe,las palmas,0,34,0,0,0.0,0.0,0,0,0,21,81.0,0,0,0.0,0.0,0.0,-1,0,0,0,0,0,0,0,1,1,1,0,10,52.0,37.0,0,0,1,0.0,24_25,31,12/04/2025,1,"[{'rojas': [2, 1.0]}]"
Christantus Uche,DT,6,getafe,las palmas,1,65,0,0,0.0,0.0,0,0,0,14,50.0,0,0,0.0,0.0,0.0,1,1,0,0,0,1,0,1,1,2,0,1,14,47.0,5.0,0,3,2,60.0,24_25,31,12/04/2025,1,"[{'rojas': [2, 2.0]}, {'faltas_cometidas': [9, 55.0]}, {'faltas_recibidas': [3, 68.0]}]"
Borja Mayoral,DT,9,getafe,las palmas,0,25,0,0,0.0,0.0,0,0,0,6,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,5,27.0,0.0,0,0,0,0.0,24_25,31,12/04/2025,1,"[{'goles_por_tiro': [9, 0.21]}]"
Juan Bernat,MC,14,getafe,las palmas,1,66,0,0,0.0,0.1,0,0,0,21,81.0,0,0,0.0,0.0,0.0,2,1,0,0,0,2,1,1,0,3,3,0,12,38.0,26.0,0,0,0,0.0,24_25,31,12/04/2025,1,[]
Coba da Costa,MC,29,getafe,las palmas,0,24,0,0,0.1,0.0,3,2,1,15,60.0,0,0,0.0,0.0,0.0,4,1,1,0,0,1,0,1,0,4,2,2,12,124.0,58.0,3,0,0,0.0,24_25,31,12/04/2025,1,"[{'apariciones_suplente': [9, 10.0]}]"
Mauro Arambarri,MC,8,getafe,las palmas,1,90,0,0,0.0,0.1,0,0,0,36,77.8,0,0,0.0,0.0,0.0,2,4,4,0,1,0,0,0,1,0,0,0,24,123.0,34.0,1,1,1,50.0,24_25,31,12/04/2025,1,"[{'penaltis_marcados': [10, 3.0]}]"
Luis Milla,MC,5,getafe,las palmas,1,90,0,1,0.1,0.2,1,0,1,49,61.2,0,0,0.0,0.0,0.0,9,4,2,0,0,0,0,0,0,1,1,0,23,95.0,36.0,0,2,2,50.0,24_25,31,12/04/2025,1,"[{'pases_clave': [3, 70.0]}, {'corners': [3, 113.0]}]"
Ramón Terrats,MC,11,getafe,las palmas,1,75,0,0,0.7,0.7,2,1,1,17,64.7,0,0,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,1,0,1,12,52.0,7.0,0,0,1,0.0,24_25,31,12/04/2025,1,[]
Carles Pérez,MC,17,getafe,las palmas,0,15,0,0,0.0,0.0,0,0,0,5,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,1,1,0,8,53.0,12.0,1,0,1,0.0,24_25,31,12/04/2025,1,[]
