player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Iñaki Williams,DT,9,athletic,mallorca,1,52,1,0,0.9,0.1,2,1,1,14,50.0,0,0,0.0,0.0,0.0,12,0,0,0,0,1,0,1,0,1,1,0,6,48.0,31.0,2,1,0,100.0,25_26,8,04/10/2025,1,"[{'penaltis_marcados': [9, 1.0]}]"
Nico Williams,DT,10,athletic,mallorca,0,38,0,0,0.0,0.0,1,1,0,13,84.6,0,0,0.0,0.0,0.0,2,2,3,0,2,0,0,0,0,3,0,2,13,72.0,27.0,2,0,1,0.0,25_26,8,04/10/2025,1,"[{'penaltis_marcados': [9, 1.0]}, {'regates_exitosos': [4, 37.0]}]"
Roberto Navarro,DT,23,athletic,mallorca,1,81,0,0,0.2,0.2,2,2,0,40,77.5,0,0,0.0,0.0,0.0,4,0,1,0,1,1,0,1,1,8,2,2,38,276.0,178.0,4,1,0,100.0,25_26,8,04/10/2025,1,"[{'goles_por_tiro': [3, 0.33]}]"
Urko Izeta,MC,25,athletic,mallorca,0,9,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,0,0,0,1,10.0,0.0,0,0,0,0.0,25_26,8,04/10/2025,1,[]
Nicolás Serrano,DT,22,athletic,mallorca,1,61,0,0,0.3,0.1,4,4,0,20,80.0,0,0,0.0,0.0,0.0,4,0,2,0,2,3,0,3,2,1,0,1,19,96.0,37.0,1,1,1,50.0,25_26,8,04/10/2025,1,[]
Alejandro Rego,DT,30,athletic,mallorca,0,29,1,0,0.1,0.0,1,0,1,12,100.0,0,0,0.0,0.0,0.0,9,1,0,0,0,0,0,0,0,0,0,0,10,36.0,28.0,1,0,0,0.0,25_26,8,04/10/2025,1,"[{'apariciones_suplente': [9, 10.0]}]"
Gorka Guruzeta,MC,11,athletic,mallorca,1,61,0,0,0.1,0.0,1,1,0,21,81.0,0,0,0.0,0.0,0.0,4,1,0,0,0,2,0,2,1,3,1,2,11,50.0,28.0,1,3,5,37.5,25_26,8,04/10/2025,1,"[{'goles_90': [9, 0.57]}]"
Maroan Sannadi,DT,21,athletic,mallorca,0,29,0,0,0.0,0.0,1,0,1,5,60.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,3,32.0,29.0,1,1,0,100.0,25_26,8,04/10/2025,1,[]
Mikel Jauregizar,MC,18,athletic,mallorca,1,90,0,0,0.0,0.0,1,1,0,69,76.8,0,0,0.0,0.0,0.0,3,0,3,0,3,1,0,1,0,2,0,1,31,141.0,65.0,2,2,0,100.0,25_26,8,04/10/2025,1,"[{'intercepciones': [1, 29.0]}, {'minutos': [4, 1555.0]}]"
Iñigo Ruiz de Galarreta,MC,16,athletic,mallorca,1,81,0,0,0.0,0.0,0,0,0,46,84.8,1,0,0.0,0.0,0.0,1,2,1,0,0,0,0,0,1,3,0,2,27,120.0,42.0,0,2,0,100.0,25_26,8,04/10/2025,1,"[{'amarillas': [1, 8.0]}, {'faltas_cometidas': [5, 29.0]}]"
Iñigo Lekue,DF,15,athletic,mallorca,0,9,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0,0,1,0.0,25_26,8,04/10/2025,1,"[{'rojas': [2, 1.0]}]"
Yuri Berchiche,DF,17,athletic,mallorca,1,90,0,0,0.0,0.1,3,3,0,60,85.0,0,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,3,1,1,0,29,96.0,82.0,1,1,0,100.0,25_26,8,04/10/2025,1,[]
Aymeric Laporte,DF,14,athletic,mallorca,1,90,0,0,0.0,0.0,0,0,0,51,82.4,1,0,0.0,0.0,0.0,3,2,0,0,0,0,0,0,1,1,1,0,30,145.0,97.0,0,1,3,25.0,25_26,8,04/10/2025,1,[]
Daniel Vivian,DF,3,athletic,mallorca,1,90,0,0,0.2,0.0,1,0,1,49,98.0,1,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,7,0,0,0,31,135.0,81.0,0,0,3,0.0,25_26,8,04/10/2025,1,"[{'rojas': [2, 1.0]}]"
