feature,spearman,p_value,abs_spearman
num_roles_criticos,0.10692418804184897,7.644086442538225e-06,0.10692418804184897
pass_comp_pct_ewma5,0.06254293447679221,0.008986827325421632,0.06254293447679221
pass_comp_pct_roll5,0.059653150500859856,0.012716143467193537,0.059653150500859856
odds_market_confidence,0.0532994651967409,0.0260250800785789,0.0532994651967409
psxg_ewma5,-0.047078272211002116,0.04933018882809807,0.047078272211002116
starter_pct_roll5,0.04693380016228172,0.05003230545896486,0.04693380016228172
defensive_combo,0.040782893039918125,0.08863717379104535,0.040782893039918125
psxg_roll5,-0.0407515282824012,0.08888285429438104,0.0407515282824012
save_advantage,0.04065908777916753,0.08961013194476676,0.04065908777916753
minutes_pct_roll5,0.03726337885722578,0.1198058796867206,0.03726337885722578
availability_form,0.0352650130484106,0.1409905941070251,0.0352650130484106
minutes_form_combo,0.03370207287149921,0.15947768317266245,0.03370207287149921
pf_ewma5,0.03249058958110584,0.17502533990194954,0.03249058958110584
minutes_pct_ewma5,0.030906795749548924,0.19701994712880377,0.030906795749548924
odds_expected_goals_against,-0.030514418883473938,0.2027688794883968,0.030514418883473938
is_home,0.030482490566618246,0.20324199566032983,0.030482490566618246
pf_roll5,0.030305759266444608,0.20587534457125678,0.030305759266444608
total_strength,0.025327397011049045,0.2904593944200181,0.025327397011049045
opp_form_roll5,-0.022629746668135057,0.34491965157571747,0.022629746668135057
goles_contra_roll5,-0.022030638107511713,0.3578453955353107,0.022030638107511713
momentum_factor,0.020526372180756917,0.39162058687596324,0.020526372180756917
odds_prob_loss,-0.01883250376203722,0.43188256464344077,0.01883250376203722
opp_form_ewma5,-0.018302379905367084,0.44495914429267236,0.018302379905367084
save_pct_ewma5,0.013259733613462997,0.5800100523561378,0.013259733613462997
form_ratio,0.013190701560750761,0.5819841141851636,0.013190701560750761
save_pct_roll5,0.012971233673266434,0.5882808285913119,0.012971233673266434
save_pct_power2,0.012971233673266434,0.5882808285913119,0.012971233673266434
odds_prob_win,0.006255683661097079,0.7940460323537613,0.006255683661097079
opp_gc_ewma5,0.0060201027516493776,0.8016371461618907,0.0060201027516493776
opp_gc_roll5,0.0029612778135992552,0.9016492566967045,0.0029612778135992552
weak_opponent,0.0029612778135992552,0.9016492566967045,0.0029612778135992552
opp_gf_ewma5,0.001936906898025307,0.9355773978350297,0.001936906898025307
opp_gf_roll5,0.0009226151155922813,0.9692874993360678,0.0009226151155922813
cs_probability,0.0007369410238539643,0.9754661249648915,0.0007369410238539643
cs_expected_points,0.0007369410238539643,0.9754661249648915,0.0007369410238539643
expected_gk_core_points,0.0007369410238539643,0.9754661249648915,0.0007369410238539643
odds_is_favored,-0.0001449298769078755,0.9951743359104616,0.0001449298769078755
cs_rate_recent,0.0,1.0,0.0
