player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Robert Lewandowski,DT,barcelona,rayo,1,78,1,0,0.3,0.0,2,1,1,12,83.3,0,0,0.0,0.0,0.0,11,0,1,0,1,1,0,1,0,3,2,1,10,71.0,53.0,1,0,2,0.0,23_24,37,19/05/2024,1,"[{'goles': [3, 19.0]}, {'goles_90': [8, 0.62]}, {'asistencias': [7, 8.0]}, {'penaltis_marcados': [3, 4.0]}, {'tiros_puerta': [3, 37.0]}]"
Vitor Roque,DT,barcelona,rayo,0,12,0,0,0.0,0.0,1,1,0,5,100.0,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,2,0,1,6,46.0,30.0,1,0,1,0.0,23_24,37,19/05/2024,1,"[{'rojas': [10, 1.0]}]"
Raphinha,DT,barcelona,rayo,1,61,0,0,0.0,0.2,1,0,1,23,95.7,1,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,1,1,0,1,21,131.0,25.0,1,0,0,0.0,23_24,37,19/05/2024,1,"[{'asistencias': [5, 9.0]}, {'asistencias_90': [1, 0.59]}, {'rojas': [10, 1.0]}]"
João Félix,DT,barcelona,rayo,0,29,0,0,0.3,0.0,2,1,1,10,100.0,0,0,0.0,0.0,0.0,4,1,0,0,0,0,0,0,0,3,3,0,10,46.0,17.0,0,0,0,0.0,23_24,37,19/05/2024,1,[]
Lamine Yamal,DT,barcelona,rayo,1,90,0,1,0.1,0.4,2,2,0,57,80.7,1,0,0.0,0.0,0.0,13,1,1,0,1,0,0,0,0,10,4,3,58,367.0,237.0,7,0,0,0.0,23_24,37,19/05/2024,1,"[{'regates_exitosos': [5, 70.0]}]"
Fermin López,MC,barcelona,rayo,1,61,0,0,0.1,0.0,2,1,1,22,77.3,0,0,0.0,0.0,0.0,5,2,3,0,2,0,0,0,1,1,0,1,20,104.0,64.0,2,1,1,50.0,23_24,37,19/05/2024,1,"[{'asistencias_90': [3, 0.36]}, {'rojas': [8, 1.0]}]"
Pedri,MC,barcelona,rayo,0,29,2,0,0.4,0.1,2,0,2,27,77.8,0,0,0.0,0.0,0.0,16,0,2,0,2,0,0,0,1,1,0,1,25,62.0,31.0,1,1,0,100.0,23_24,37,19/05/2024,1,"[{'pases_clave': [3, 70.0]}, {'pases_ultimo_tercio': [1, 331.0]}]"
İlkay Gündoğan,MC,barcelona,rayo,1,90,0,0,0.0,0.0,0,0,0,98,92.9,0,0,0.0,0.0,0.0,10,2,3,0,1,1,1,0,1,2,2,0,79,260.0,65.0,0,0,0,0.0,23_24,37,19/05/2024,1,"[{'asistencias': [5, 9.0]}, {'pases_clave': [1, 97.0]}, {'pases_ultimo_tercio': [10, 188.0]}, {'corners': [1, 140.0]}]"
Sergi Roberto,MC,barcelona,rayo,1,45,0,0,0.0,0.0,1,1,0,23,78.3,0,0,0.0,0.0,0.0,2,1,0,0,0,1,1,0,0,0,0,0,20,119.0,41.0,1,3,0,100.0,23_24,37,19/05/2024,1,[]
Andreas Christensen,MC,barcelona,rayo,0,45,0,0,0.0,0.0,0,0,0,35,97.1,0,0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,28,85.0,36.0,0,1,1,50.0,23_24,37,19/05/2024,1,"[{'pases_completados_pct': [1, 94.3]}]"
João Cancelo,DF,barcelona,rayo,1,90,0,0,0.0,0.0,0,0,0,57,93.0,1,0,0.0,0.0,0.0,7,1,2,0,1,0,0,0,1,4,1,3,52,242.0,108.0,2,1,0,100.0,23_24,37,19/05/2024,1,"[{'regates_exitosos': [7, 61.0]}]"
