player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Ayoze Pérez,ESP,31,DT,22,villarreal,osasuna,1,90,2,0,0.7,0.0,3,1,2,24,75.0,0,0,0.0,0.0,0.0,14,0,0,0,0,2,0,2,2,2,0,2,17,71.0,34.0,1,0,4,0.0,24_25,34,03/05/2025,1,"[{'goles': [5, 19.0]}, {'goles_90': [4, 0.87]}, {'tiros_puerta': [8, 31.0]}, {'goles_por_tiro': [4, 0.25]}]"
Thierno Barry,FRA,22,DT,15,villarreal,osasuna,1,70,1,0,0.3,0.1,2,1,1,13,76.9,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,1,3,1,2,17,77.0,35.0,1,2,1,66.7,24_25,34,03/05/2025,1,[]
Tajon Buchanan,CAN,26,MC,9,villarreal,osasuna,0,20,0,0,0.0,0.0,0,0,0,4,75.0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,1,1,5,53.0,41.0,1,0,0,0.0,24_25,34,03/05/2025,1,"[{'goles_por_tiro': [1, 0.38]}]"
Pape Gueye,SEN,26,MC,18,villarreal,osasuna,1,69,0,0,0.2,0.0,3,2,1,31,87.1,0,0,0.0,0.0,0.0,5,1,0,0,0,2,0,2,3,0,0,0,20,67.0,38.0,0,1,1,50.0,24_25,34,03/05/2025,1,"[{'rojas': [2, 2.0]}, {'faltas_recibidas': [9, 62.0]}]"
Alex Baena,ESP,23,MC,16,villarreal,osasuna,0,21,0,1,0.0,0.5,0,0,0,8,87.5,1,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,1,0,0,0,3,48.0,39.0,1,0,0,0.0,24_25,34,03/05/2025,1,"[{'asistencias': [2, 9.0]}, {'asistencias_90': [9, 0.31]}, {'pases_clave': [1, 95.0]}, {'corners': [4, 107.0]}]"
Daniel Parejo,ESP,36,MC,10,villarreal,osasuna,1,81,0,1,0.0,0.3,0,0,0,41,95.1,0,0,0.0,0.0,0.0,7,2,1,0,0,0,0,0,2,0,0,0,22,94.0,37.0,0,0,1,0.0,24_25,34,03/05/2025,1,"[{'pases_ultimo_tercio': [9, 176.0]}]"
Denis Suárez,ESP,31,MC,6,villarreal,osasuna,0,9,0,0,0.0,0.3,0,0,0,5,80.0,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,1,0,0,0,2,13.0,0.0,0,0,0,0.0,24_25,34,03/05/2025,1,[]
Santi Comesaña,ESP,28,MC,14,villarreal,osasuna,1,90,0,0,0.1,0.0,1,1,0,31,83.9,1,0,0.0,0.0,0.0,2,4,2,0,0,2,2,0,4,1,1,0,17,82.0,52.0,0,2,4,33.3,24_25,34,03/05/2025,1,"[{'entradas': [5, 85.0]}]"
Nicolas Pépé,CIV,29,MC,19,villarreal,osasuna,1,90,1,2,0.7,0.6,2,1,1,28,75.0,0,0,0.0,0.0,0.0,19,6,4,0,1,0,0,0,2,6,2,4,23,178.0,95.0,3,0,4,0.0,24_25,34,03/05/2025,1,"[{'asistencias_90': [3, 0.36]}]"
Sergi Cardona,ESP,25,DF,23,villarreal,osasuna,1,90,0,0,0.1,0.1,2,2,0,38,84.2,0,0,0.0,0.0,0.0,3,3,4,0,1,3,0,3,9,1,1,0,20,84.0,23.0,0,2,2,50.0,24_25,34,03/05/2025,1,"[{'asistencias': [8, 7.0]}, {'centros_area': [7, 26.0]}, {'amarillas': [6, 11.0]}]"
