player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Cédric Bakambu,DT,betis,espanyol,1,60,0,0,0.1,0.0,2,1,1,10,60.0,0,0,0.0,0.0,0.0,4,0,0,0,0,2,0,2,0,0,0,0,8,29.0,8.0,0,0,1,0.0,24_25,8,29/09/2024,1,[]
Vitor Roque,DT,betis,espanyol,0,30,0,0,0.0,0.0,0,0,0,5,80.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,3,8.0,2.0,0,0,0,0.0,24_25,8,29/09/2024,1,"[{'rojas': [10, 1.0]}]"
Abde Ezzalzouli,DT,betis,espanyol,1,87,0,0,1.2,0.4,2,0,2,31,61.3,0,0,0.0,0.0,0.0,5,0,1,0,1,1,0,1,0,6,0,5,32,238.0,152.0,5,0,2,0.0,24_25,8,29/09/2024,1,"[{'apariciones_suplente': [6, 22.0]}]"
Assane Diao,DT,betis,espanyol,0,3,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,3,22.0,14.0,1,2,1,66.7,24_25,8,29/09/2024,1,[]
Iker Losada,DT,betis,espanyol,1,60,0,0,0.1,0.0,2,2,0,29,75.9,0,0,0.0,0.0,0.0,7,2,2,0,1,0,0,0,1,0,0,0,13,57.0,30.0,0,1,0,100.0,24_25,8,29/09/2024,1,[]
Pablo Fornals,MC,betis,espanyol,0,30,0,0,0.2,0.0,2,1,1,14,64.3,0,0,0.0,0.0,0.0,3,1,1,0,0,1,0,1,0,4,2,2,13,46.0,30.0,0,2,0,100.0,24_25,8,29/09/2024,1,"[{'asistencias': [8, 4.0]}, {'pases_clave': [4, 36.0]}, {'pases_ultimo_tercio': [9, 98.0]}, {'corners': [8, 40.0]}]"
Giovani Lo Celso,MC,betis,espanyol,1,90,1,0,0.4,0.5,5,1,4,68,83.8,0,0,0.0,0.0,0.0,17,0,1,0,1,1,0,1,0,5,1,4,46,192.0,93.0,1,1,0,100.0,24_25,8,29/09/2024,1,"[{'faltas_recibidas': [7, 63.0]}]"
Marc Roca,MC,betis,espanyol,1,77,0,0,0.0,0.1,2,2,0,51,82.4,1,0,0.0,0.0,0.0,4,1,1,0,0,1,1,0,0,0,0,0,37,176.0,66.0,1,0,0,0.0,24_25,8,29/09/2024,1,[]
Aitor Ruibal,DT,betis,espanyol,0,13,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,3,18.0,6.0,1,0,0,0.0,24_25,8,29/09/2024,1,[]
Sergi Altimira,MC,betis,espanyol,1,78,0,0,0.1,0.0,2,1,1,40,95.0,1,0,0.0,0.0,0.0,4,1,2,0,1,0,0,0,0,0,0,0,29,107.0,40.0,1,0,0,0.0,24_25,8,29/09/2024,1,[]
