player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Anastasios Douvikas,DT,celta,valencia,1,63,1,0,0.5,0.0,3,1,2,9,88.9,0,0,0.0,0.0,0.0,9,1,0,0,0,2,1,1,0,1,0,1,13,33.0,11.0,0,2,3,40.0
Jørgen Strand Larsen,DT,celta,valencia,0,27,0,0,0.0,0.0,0,0,0,8,37.5,0,0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,1,1,0,1,10,25.0,2.0,0,0,1,0.0
Williot Swedberg,DT,celta,valencia,1,64,0,0,0.0,0.1,0,0,0,7,100.0,0,0,0.0,0.0,0.0,3,0,0,0,0,1,0,1,1,0,0,0,10,30.0,13.0,0,0,0,0.0
Tadeo Allende,DT,celta,valencia,0,26,0,0,0.0,0.0,0,0,0,5,40.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,3,9.0,5.0,0,0,0,0.0
Iago Aspas,DT,celta,valencia,1,74,1,1,0.9,0.1,1,1,0,24,62.5,0,0,0.0,0.0,0.0,14,0,1,0,1,1,0,1,0,1,0,1,18,96.0,40.0,2,0,1,0.0
Carlos Dotor,MC,celta,valencia,0,16,0,0,0.0,0.0,0,0,0,12,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,10,57.0,19.0,0,0,0,0.0
Óscar Mingueza,MC,celta,valencia,1,90,0,0,0.0,0.0,1,0,1,70,78.6,0,0,0.0,0.0,0.0,-1,3,4,0,1,1,1,0,3,3,1,2,49,244.0,128.0,0,0,1,0.0
Hugo Sotelo,MC,celta,valencia,1,90,0,0,0.0,0.0,1,1,0,46,80.4,0,0,0.0,0.0,0.0,4,2,3,0,1,1,0,1,0,3,2,1,36,123.0,50.0,0,0,0,0.0
Fran Beltrán,MC,celta,valencia,1,90,0,0,0.0,0.0,1,1,0,63,95.2,0,0,0.0,0.0,0.0,1,1,4,0,4,1,0,1,1,1,0,1,48,220.0,100.0,0,1,0,100.0
Miguel Rodríguez,MC,celta,valencia,1,90,0,0,0.1,0.0,1,1,0,37,73.0,0,0,0.0,0.0,0.0,0,2,2,0,1,1,0,1,0,3,0,2,30,225.0,105.0,2,0,0,0.0
Carlos Dominguez,DF,celta,valencia,1,64,0,0,0.0,0.0,0,0,0,53,79.2,0,0,0.0,0.0,0.0,-1,0,2,0,2,2,1,1,3,0,0,0,42,161.0,72.0,0,2,1,66.7
Renato Tapia,DF,celta,valencia,0,26,0,0,0.0,0.0,0,0,0,15,80.0,0,0,0.0,0.0,0.0,3,0,0,0,0,1,0,1,0,2,0,1,17,93.0,55.0,0,0,1,0.0
Yoel Lago,DF,celta,valencia,1,90,0,0,0.0,0.0,0,0,0,86,95.3,0,0,0.0,0.0,0.0,0,2,0,0,0,1,0,1,2,0,0,0,76,324.0,137.0,0,0,0,0.0
