player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Artem Dovbyk,DT,girona,granada,1,90,3,1,2.2,0.9,2,1,1,9,66.7,0,0,0.0,0.0,0.0,24,0,0,0,0,0,0,0,0,1,1,0,7,18.0,6.0,0,0,0,0.0,23_24,38,24/05/2024,1,"[{'goles': [1, 24.0]}, {'goles_90': [1, 0.83]}, {'asistencias': [7, 8.0]}, {'penaltis_marcados': [1, 7.0]}, {'tiros_puerta': [4, 36.0]}]"
Portu,DT,girona,granada,1,49,0,0,0.0,0.0,1,1,0,11,63.6,1,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,0,0,0,12,61.0,37.0,1,1,0,100.0,23_24,38,24/05/2024,1,"[{'asistencias_90': [5, 0.35]}, {'goles_por_tiro': [1, 0.32]}, {'apariciones_suplente': [2, 25.0]}]"
Sávio,MC,girona,granada,0,41,0,1,0.0,0.8,0,0,0,17,64.7,0,0,0.0,0.0,0.0,12,1,0,0,0,0,0,0,0,3,2,1,21,163.0,82.0,3,0,0,0.0,23_24,38,24/05/2024,1,"[{'asistencias': [3, 10.0]}, {'regates_exitosos': [1, 104.0]}, {'faltas_recibidas': [9, 66.0]}]"
Viktor Tsyhankov,DT,girona,granada,1,55,2,1,1.0,0.2,4,1,3,30,80.0,0,0,0.0,0.0,0.0,19,0,0,0,0,1,0,1,0,2,2,0,26,176.0,67.0,2,0,0,0.0,23_24,38,24/05/2024,1,"[{'corners': [10, 80.0]}]"
Cristhian Stuani,DT,girona,granada,0,35,1,1,1.1,0.5,2,1,1,3,100.0,0,0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,3,9.0,0.0,0,0,0,0.0,23_24,38,24/05/2024,1,"[{'goles_por_tiro': [7, 0.26]}, {'apariciones_suplente': [1, 26.0]}]"
Yangel Herrera,MC,girona,granada,1,49,0,0,0.1,0.0,2,1,1,25,72.0,0,0,0.0,0.0,0.0,2,2,2,0,1,1,0,1,0,0,0,0,21,127.0,87.0,3,0,0,0.0,23_24,38,24/05/2024,1,"[{'faltas_cometidas': [6, 65.0]}]"
Pablo Torre,MC,girona,granada,0,41,0,0,0.0,0.1,1,1,0,25,88.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,1,1,22,149.0,100.0,3,0,0,0.0,23_24,38,24/05/2024,1,"[{'apariciones_suplente': [6, 22.0]}]"
Aleix García,MC,girona,granada,1,90,0,0,0.0,0.0,1,1,0,114,90.4,0,0,0.0,0.0,0.0,7,2,2,0,1,1,0,1,1,0,0,0,77,485.0,335.0,7,1,0,100.0,23_24,38,24/05/2024,1,"[{'pases_clave': [7, 57.0]}, {'pases_ultimo_tercio': [2, 306.0]}, {'corners': [3, 122.0]}, {'rojas': [10, 1.0]}]"
Iván Martín,MC,girona,granada,1,90,0,0,0.0,0.0,0,0,0,80,96.3,0,0,0.0,0.0,0.0,12,2,2,0,1,1,1,0,0,7,5,2,63,468.0,207.0,3,0,0,0.0,23_24,38,24/05/2024,1,"[{'goles_por_tiro': [7, 0.26]}, {'pases_completados_pct': [9, 91.3]}]"
Miguel Gutiérrez,DF,girona,granada,1,64,0,1,0.0,0.3,0,0,0,44,88.6,0,0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,1,2,1,1,24,115.0,22.0,0,0,1,0.0,23_24,38,24/05/2024,1,"[{'centros_area': [10, 19.0]}]"
Arnau Martinez,DF,girona,granada,0,26,0,0,0.0,0.0,0,0,0,21,90.5,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,0,0,0,16,80.0,54.0,0,0,0,0.0,23_24,38,24/05/2024,1,[]
Daley Blind,DF,girona,granada,1,90,0,0,0.0,0.0,0,0,0,84,90.5,0,0,0.0,0.0,0.0,7,1,1,0,1,1,1,0,1,1,1,0,61,322.0,210.0,1,0,1,0.0,23_24,38,24/05/2024,1,"[{'pases_ultimo_tercio': [5, 256.0]}]"
David López,DF,girona,granada,1,49,0,0,0.0,0.0,0,0,0,64,96.9,1,0,0.0,0.0,0.0,1,1,2,0,1,0,0,0,1,0,0,0,44,331.0,220.0,3,0,1,0.0,23_24,38,24/05/2024,1,"[{'pases_completados_pct': [3, 92.8]}]"
Yan Couto,MC,girona,granada,0,41,0,0,0.0,0.0,0,0,0,30,76.7,0,0,0.0,0.0,0.0,3,2,1,0,0,0,0,0,0,2,1,1,24,170.0,113.0,4,0,0,0.0,23_24,38,24/05/2024,1,"[{'asistencias': [7, 8.0]}, {'asistencias_90': [9, 0.32]}]"
Eric García,DF,girona,granada,1,90,1,0,0.2,0.0,1,0,1,78,92.3,1,0,0.0,0.0,0.0,15,1,1,0,0,1,0,1,1,0,0,0,49,215.0,129.0,0,2,0,100.0,23_24,38,24/05/2024,1,"[{'goles_por_tiro': [2, 0.29]}, {'pases_ultimo_tercio': [7, 227.0]}]"
Paulo Gazzaniga,PT,girona,granada,1,90,0,0,0.0,0.0,0,0,0,35,94.3,0,0,0.0,100.0,0.2,12,0,0,0,0,0,0,0,0,0,0,0,22,112.0,86.0,0,0,0,0.0,23_24,38,24/05/2024,1,"[{'minutos': [1, 3420.0]}, {'porterias_cero': [7, 12.0]}, {'paradas': [2, 121.0]}, {'save_pct': [5, 75.6]}]"
Lucas Boyé,DT,granada,girona,1,90,0,0,0.8,0.0,3,1,2,30,66.7,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,0,3,2,1,25,101.0,38.0,2,1,1,50.0,23_24,38,24/05/2024,0,"[{'rojas': [10, 1.0]}, {'faltas_cometidas': [3, 72.0]}]"
Sergio Rodelas,DT,granada,girona,1,45,0,0,0.0,0.4,0,0,0,7,85.7,0,0,0.0,0.0,0.0,0,3,3,0,3,0,0,0,0,1,1,0,4,44.0,19.0,1,0,1,0.0,23_24,38,24/05/2024,0,[]
José Callejón,MC,granada,girona,0,45,0,0,0.1,0.2,1,1,0,16,93.8,1,0,0.0,0.0,0.0,-1,3,2,0,1,0,0,0,0,2,1,1,11,33.0,11.0,0,0,0,0.0,23_24,38,24/05/2024,0,[]
Facundo Pellistri,DT,granada,girona,1,60,0,0,0.0,0.2,0,0,0,18,77.8,2,1,0.0,0.0,0.0,-2,0,0,0,0,0,0,0,0,1,1,0,15,97.0,62.0,2,1,0,100.0,23_24,38,24/05/2024,0,"[{'rojas': [10, 1.0]}]"
Gonzalo Villar,MC,granada,girona,1,45,0,0,0.1,0.0,1,1,0,12,83.3,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,9,60.0,38.0,1,0,0,0.0,23_24,38,24/05/2024,0,"[{'faltas_recibidas': [9, 66.0]}]"
Kamil Piątkowski,DF,granada,girona,0,45,0,0,0.0,0.0,0,0,0,12,83.3,0,0,0.0,0.0,0.0,-2,2,1,0,1,1,1,0,4,0,0,0,8,22.0,8.0,0,0,0,0.0,23_24,38,24/05/2024,0,"[{'rojas': [10, 1.0]}]"
Gerard Gumbau,MC,granada,girona,1,90,0,0,0.1,0.0,3,3,0,32,71.9,0,0,0.0,0.0,0.0,-2,1,4,0,3,1,0,1,2,0,0,0,24,94.0,64.0,2,0,0,0.0,23_24,38,24/05/2024,0,"[{'amarillas': [5, 12.0]}, {'faltas_cometidas': [9, 62.0]}]"
Sergio Ruiz,MC,granada,girona,1,90,0,0,0.0,0.1,0,0,0,32,84.4,1,0,0.0,0.0,0.0,-2,2,2,0,1,0,0,0,0,1,0,1,23,97.0,56.0,1,0,1,0.0,23_24,38,24/05/2024,0,"[{'entradas': [5, 83.0]}, {'faltas_recibidas': [9, 66.0]}]"
Faitout Maouassa,DF,granada,girona,1,59,0,0,0.0,0.0,1,1,0,18,83.3,0,0,0.0,0.0,0.0,-2,0,0,0,0,1,0,1,1,2,0,2,11,41.0,8.0,0,0,0,0.0,23_24,38,24/05/2024,0,[]
Brau,DF,granada,girona,0,31,0,0,0.0,0.0,0,0,0,10,70.0,0,0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,2,1,1,0,8,66.0,45.0,2,0,0,0.0,23_24,38,24/05/2024,0,[]
Raúl Torrente,DF,granada,girona,1,71,0,0,0.0,0.0,0,0,0,22,86.4,0,0,0.0,0.0,0.0,1,0,1,0,1,1,0,1,9,0,0,0,16,73.0,19.0,0,0,0,0.0,23_24,38,24/05/2024,0,[]
