player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Domingos André Ribeiro Almeida,DT,valencia,oviedo,1,54,0,0,0.0,0.0,0,0,0,27,85.2,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,0,0,0,0,26,150.0,43.0,2,0,0,0.0,25_26,7,30/09/2025,1,[]
Diego López,MC,valencia,oviedo,0,36,0,0,0.0,0.1,1,1,0,24,75.0,0,0,0.0,0.0,0.0,3,0,0,0,0,2,0,2,0,0,0,0,17,127.0,85.0,3,0,0,0.0,25_26,7,30/09/2025,1,[]
Hugo Duro,DT,valencia,oviedo,1,54,0,0,0.1,0.0,1,1,0,19,78.9,0,0,0.0,0.0,0.0,1,0,2,0,2,0,0,0,0,0,0,0,14,50.0,20.0,0,1,4,20.0,25_26,7,30/09/2025,1,"[{'goles': [9, 6.0]}, {'goles_90': [8, 0.54]}, {'goles_por_tiro': [5, 0.3]}]"
Lucas Beltrán,DT,valencia,oviedo,0,36,0,0,0.0,0.0,0,0,0,14,78.6,0,0,0.0,0.0,0.0,2,0,0,0,0,2,0,2,0,3,1,2,11,50.0,25.0,0,1,1,50.0,25_26,7,30/09/2025,1,[]
Arnaut Danjuma,MC,valencia,oviedo,1,77,1,0,1.1,0.0,5,3,2,19,73.7,0,0,0.0,0.0,0.0,8,0,1,0,1,1,0,1,0,2,1,1,24,189.0,97.0,5,0,0,0.0,25_26,7,30/09/2025,1,[]
Dani Raba,DT,valencia,oviedo,0,13,0,0,0.0,0.0,0,0,0,16,81.3,0,0,0.0,0.0,0.0,1,2,0,0,0,1,0,1,0,0,0,0,14,44.0,10.0,0,0,0,0.0,25_26,7,30/09/2025,1,"[{'penaltis_marcados': [6, 4.0]}]"
Javier Guerra,MC,valencia,oviedo,1,54,0,0,0.0,0.0,1,1,0,35,77.1,0,0,0.0,0.0,0.0,3,1,1,0,0,1,1,0,2,0,0,0,30,170.0,58.0,2,0,0,0.0,25_26,7,30/09/2025,1,"[{'rojas': [10, 1.0]}]"
José Luis García Vayá,MC,valencia,oviedo,0,36,0,0,0.0,0.1,1,1,0,41,80.5,0,0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,0,1,1,0,33,181.0,55.0,0,0,0,0.0,25_26,7,30/09/2025,1,"[{'penaltis_marcados': [1, 7.0]}, {'pases_clave': [8, 55.0]}, {'pases_ultimo_tercio': [8, 216.0]}, {'corners': [4, 108.0]}, {'entradas': [6, 78.0]}, {'intercepciones': [3, 49.0]}, {'minutos': [6, 3302.0]}]"
Baptiste Santamaria,MC,valencia,oviedo,1,90,0,0,0.0,0.0,2,1,1,62,90.3,0,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,3,2,1,1,51,267.0,130.0,1,1,0,100.0,25_26,7,30/09/2025,1,[]
Luis Rioja,MC,valencia,oviedo,1,84,0,1,0.0,0.3,1,1,0,44,84.1,0,0,0.0,0.0,0.0,12,2,2,0,1,2,0,2,1,7,2,4,36,254.0,99.0,4,0,0,0.0,25_26,7,30/09/2025,1,"[{'penaltis_marcados': [7, 3.0]}, {'centros_area': [10, 19.0]}]"
