player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Youssef EnNesyri,MAR,26,DT,15,sevilla,granada,1,83,1,0,0.9,0.0,3,2,1,16,62.5,0,0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,2,1,1,16,120.0,54.0,4,3,4,42.9,23_24,34,05/05/2024,1,[]
Alejo Véliz,ARG,20,DT,10,sevilla,granada,0,7,0,0,0.2,0.0,1,0,1,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0,0,0,0.0,23_24,34,05/05/2024,1,[]
Érik Lamela,ARG,32,MC,17,sevilla,granada,1,73,0,0,0.1,0.1,1,1,0,29,75.9,0,0,0.0,0.0,0.0,3,2,2,0,0,0,0,0,0,2,1,1,27,196.0,90.0,3,0,0,0.0,23_24,34,05/05/2024,1,[]
Dodi Lukebakio,BEL,26,MC,11,sevilla,granada,0,17,1,0,0.1,0.0,2,1,1,9,77.8,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,1,1,0,5,33.0,14.0,0,1,1,50.0,23_24,34,05/05/2024,1,"[{'tiros_puerta': [6, 38.0]}, {'regates_exitosos': [2, 84.0]}, {'rojas': [8, 1.0]}]"
Lucas Ocampos,ARG,29,MC,5,sevilla,granada,1,83,0,1,0.1,0.6,1,0,1,56,75.0,1,0,0.0,0.0,0.0,8,2,2,0,2,0,0,0,1,3,1,2,43,264.0,110.0,5,1,1,50.0,23_24,34,05/05/2024,1,"[{'centros_area': [9, 20.0]}, {'faltas_recibidas': [6, 71.0]}]"
Hannibal Mejbri,TUN,21,MC,46,sevilla,granada,0,7,0,0,0.0,0.2,0,0,0,4,75.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,1,1,0,6,65.0,43.0,1,0,0,0.0,23_24,34,05/05/2024,1,[]
Lucien Agoume,FRA,22,MC,42,sevilla,granada,1,90,0,0,0.0,0.1,0,0,0,59,89.8,0,0,0.0,0.0,0.0,9,4,1,0,0,0,0,0,0,3,3,0,49,229.0,79.0,1,0,1,0.0,23_24,34,05/05/2024,1,"[{'rojas': [8, 1.0]}]"
Boubakary Soumaré,FRA,25,MC,24,sevilla,granada,1,89,0,0,0.0,0.0,0,0,0,56,94.6,0,0,0.0,0.0,0.0,6,1,1,0,1,2,1,1,0,0,0,0,38,115.0,34.0,1,3,0,100.0,23_24,34,05/05/2024,1,[]
Joan Jordán,ESP,29,MC,8,sevilla,granada,0,1,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,2.0,2.0,0,0,0,0.0,23_24,34,05/05/2024,1,"[{'penaltis_marcados': [10, 3.0]}]"
Marcos Acuña,ARG,32,MC,19,sevilla,granada,1,90,1,0,0.1,0.4,1,0,1,59,72.9,0,0,0.0,0.0,0.0,17,0,0,0,0,1,0,1,3,0,0,0,30,112.0,40.0,0,1,2,33.3,23_24,34,05/05/2024,1,[]
