player,nacionalidad,edad,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Sergio Camello,ESP,22,DT,34,rayo,mallorca,1,59,0,1,0.0,0.1,0,0,0,9,88.9,0,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,1,1,0,11,50.0,8.0,0,0,5,0.0,23_24,8,30/09/2023,1,"[{'rojas': [2, 1.0]}]"
Raúl de Tomás,ESP,28,DT,22,rayo,mallorca,0,31,0,0,0.2,0.0,2,2,0,10,80.0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,10,47.0,26.0,1,2,4,33.3,23_24,8,30/09/2023,1,[]
Álvaro García,ESP,30,DT,18,rayo,mallorca,1,90,1,0,0.2,0.0,2,1,1,42,69.0,0,0,0.0,0.0,0.0,7,0,2,0,2,2,0,2,0,1,0,1,36,106.0,53.0,1,0,1,0.0,23_24,8,30/09/2023,1,"[{'centros_area': [7, 21.0]}, {'rojas': [10, 1.0]}]"
Isaac Palazón Camacho,ESP,28,DT,7,rayo,mallorca,1,90,0,0,0.0,0.0,1,0,1,46,76.1,0,0,0.0,0.0,0.0,3,2,2,0,1,0,0,0,1,4,2,2,36,198.0,49.0,0,1,2,33.3,23_24,8,30/09/2023,1,"[{'tiros_puerta': [10, 31.0]}, {'faltas_recibidas': [3, 76.0]}]"
Kike Pérez,ESP,26,MC,14,rayo,mallorca,1,59,0,0,0.6,0.0,1,1,0,25,84.0,0,0,0.0,0.0,0.0,2,0,0,0,0,2,0,2,1,5,0,4,26,112.0,21.0,0,0,2,0.0,23_24,8,30/09/2023,1,[]
Óscar Valentín,ESP,29,MC,23,rayo,mallorca,0,31,0,0,0.0,0.0,0,0,0,24,70.8,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,0,0,0,16,113.0,66.0,0,1,4,20.0,23_24,8,30/09/2023,1,"[{'entradas': [1, 107.0]}, {'rojas': [10, 1.0]}, {'faltas_cometidas': [2, 77.0]}]"
Pathé Ciss,SEN,29,MC,21,rayo,mallorca,1,90,0,0,0.2,0.0,3,3,0,39,79.5,0,0,0.0,0.0,0.0,4,2,2,0,1,2,0,2,5,2,1,1,27,115.0,78.0,2,5,2,71.4,23_24,8,30/09/2023,1,"[{'amarillas': [3, 12.0]}]"
Unai López,ESP,27,MC,17,rayo,mallorca,1,59,0,0,0.1,0.0,2,2,0,49,89.8,1,0,0.0,0.0,0.0,1,0,1,0,1,1,0,1,0,1,1,0,36,128.0,47.0,0,1,0,100.0,23_24,8,30/09/2023,1,"[{'rojas': [8, 1.0]}]"
Óscar Trejo,ARG,35,MC,8,rayo,mallorca,0,31,0,0,0.1,0.1,1,1,0,25,96.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,3,0,2,28,151.0,73.0,1,0,0,0.0,23_24,8,30/09/2023,1,"[{'rojas': [10, 1.0]}]"
Alfonso Espino,URU,31,DF,12,rayo,mallorca,1,79,0,0,0.0,0.1,0,0,0,48,77.1,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,1,4,1,3,26,92.0,35.0,1,1,0,100.0,23_24,8,30/09/2023,1,[]
