player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Alexander Sørloth,DT,villarreal,las palmas,1,90,0,0,0.3,0.2,2,2,0,14,42.9,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,4,1,3,15,165.0,73.0,3,1,0,100.0,23_24,9,08/10/2023,1,"[{'goles': [2, 23.0]}, {'goles_90': [1, 0.83]}, {'tiros_puerta': [4, 36.0]}, {'goles_por_tiro': [2, 0.29]}]"
Ben Brereton,DT,villarreal,las palmas,1,57,0,0,0.0,0.0,0,0,0,10,60.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,12,86.0,34.0,1,1,0,100.0,23_24,9,08/10/2023,1,[]
Kiko Femenía,DF,villarreal,las palmas,0,33,0,0,0.0,0.0,0,0,0,19,89.5,0,0,0.0,0.0,0.0,3,1,1,0,1,0,0,0,1,0,0,0,13,75.0,45.0,1,1,0,100.0,23_24,9,08/10/2023,1,"[{'rojas': [10, 1.0]}]"
Yeremi Pino,DT,villarreal,las palmas,1,45,0,0,0.3,0.0,2,1,1,15,73.3,1,0,0.0,0.0,0.0,2,3,3,0,2,0,0,0,1,2,1,0,13,70.0,41.0,1,0,1,0.0,23_24,9,08/10/2023,1,"[{'asistencias': [8, 7.0]}, {'asistencias_90': [6, 0.33]}, {'amarillas': [6, 11.0]}]"
José Luis Morales,DT,villarreal,las palmas,0,45,0,0,0.0,0.0,1,1,0,10,60.0,0,0,0.0,0.0,0.0,2,1,1,0,1,0,0,0,0,2,0,2,14,90.0,37.0,2,0,0,0.0,23_24,9,08/10/2023,1,"[{'goles_por_tiro': [5, 0.27]}, {'apariciones_suplente': [10, 21.0]}]"
Manu Trigueros,MC,villarreal,las palmas,1,74,0,0,0.2,0.0,1,1,0,27,77.8,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,20,99.0,20.0,0,1,0,100.0,23_24,9,08/10/2023,1,[]
Gerard Moreno,MC,villarreal,las palmas,0,16,1,0,0.0,0.0,1,0,1,13,53.8,0,0,0.0,0.0,0.0,7,1,1,0,0,0,0,0,0,1,1,0,14,95.0,46.0,2,0,0,0.0,23_24,9,08/10/2023,1,"[{'pases_clave': [10, 53.0]}]"
Étienne Capoue,MC,villarreal,las palmas,1,90,0,0,0.1,0.0,2,0,2,46,87.0,1,0,0.0,0.0,0.0,4,2,2,0,1,0,0,0,0,1,0,0,36,125.0,43.0,0,1,1,50.0,23_24,9,08/10/2023,1,[]
Daniel Parejo,MC,villarreal,las palmas,1,90,0,0,0.0,0.1,0,0,0,66,75.8,1,0,0.0,0.0,0.0,0,0,1,0,1,1,0,1,0,2,0,2,45,183.0,105.0,1,2,1,66.7,23_24,9,08/10/2023,1,"[{'penaltis_marcados': [7, 3.0]}]"
Alfonso Pedraza,DF,villarreal,las palmas,1,57,0,0,0.0,0.1,0,0,0,26,76.9,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,0,2,20,249.0,139.0,3,0,0,0.0,23_24,9,08/10/2023,1,"[{'rojas': [10, 1.0]}]"
