player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Kiké,DT,alaves,villarreal,1,87,0,0,0.0,0.0,0,0,0,21,57.1,0,0,0.0,0.0,0.0,4,0,0,0,0,2,1,1,3,0,0,0,15,86.0,50.0,2,5,5,50.0,24_25,27,08/03/2025,1,"[{'goles': [9, 13.0]}, {'penaltis_marcados': [10, 3.0]}, {'rojas': [8, 1.0]}]"
Asier Villalibre,DT,alaves,villarreal,0,3,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,1,1,2,0,1,0,0,0,1,4,1,3,4,12.0,2.0,0,1,1,50.0,24_25,27,08/03/2025,1,[]
Carlos Martín,DT,alaves,villarreal,1,66,0,0,0.0,0.0,1,1,0,16,68.8,0,0,0.0,0.0,0.0,5,0,0,0,0,3,0,3,1,2,1,1,14,28.0,11.0,0,1,0,100.0,24_25,27,08/03/2025,1,[]
Facundo Garcés,DF,alaves,villarreal,0,24,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0,1,1,50.0,24_25,27,08/03/2025,1,[]
Carles Aleñá,MC,alaves,villarreal,1,90,0,0,0.0,0.0,0,0,0,29,82.8,0,0,0.0,0.0,0.0,7,4,2,0,2,1,0,1,0,7,3,3,27,121.0,72.0,1,1,0,100.0,24_25,27,08/03/2025,1,[]
Joan Jordán,MC,alaves,villarreal,1,66,0,0,0.0,0.0,0,0,0,29,89.7,0,0,0.0,0.0,0.0,5,2,1,0,0,1,0,1,0,0,0,0,17,26.0,6.0,0,0,0,0.0,24_25,27,08/03/2025,1,"[{'penaltis_marcados': [10, 3.0]}]"
Carlos Vicente,MC,alaves,villarreal,0,24,0,0,0.0,0.0,0,0,0,4,50.0,0,0,0.0,0.0,0.0,1,1,2,0,1,1,0,1,1,0,0,0,3,12.0,4.0,0,0,2,0.0,24_25,27,08/03/2025,1,"[{'pases_clave': [7, 63.0]}, {'centros_area': [3, 29.0]}, {'corners': [8, 85.0]}, {'faltas_recibidas': [9, 62.0]}]"
Antonio Blanco,MC,alaves,villarreal,1,89,0,0,0.0,0.0,1,1,0,18,72.2,2,1,0.0,0.0,0.0,4,1,3,0,2,1,0,1,4,0,0,0,10,17.0,6.0,0,0,0,0.0,24_25,27,08/03/2025,1,"[{'amarillas': [6, 11.0]}, {'rojas': [8, 1.0]}, {'faltas_cometidas': [3, 66.0]}]"
Pau Cabanes,MC,alaves,villarreal,1,58,0,0,0.0,0.0,1,0,1,18,66.7,0,0,0.0,0.0,0.0,3,3,5,0,2,1,0,1,0,4,2,1,19,121.0,80.0,5,0,0,0.0,24_25,27,08/03/2025,1,[]
Adrian Rodriguez,PT,alaves,villarreal,0,32,0,0,0.0,0.0,0,0,0,17,29.4,1,0,0.0,0.0,0.0,-1,0,0,0,0,0,0,0,1,0,0,0,2,25.0,12.0,0,0,0,0.0,24_25,27,08/03/2025,1,[]
Manu Sánchez,DF,alaves,villarreal,1,87,1,0,1.0,0.0,2,0,2,26,65.4,0,0,0.0,0.0,0.0,15,5,4,0,0,3,0,3,2,2,0,1,15,63.0,40.0,1,0,1,0.0,24_25,27,08/03/2025,1,"[{'entradas': [7, 83.0]}, {'rojas': [8, 1.0]}, {'faltas_cometidas': [6, 56.0]}]"
Moussa Diarra,DF,alaves,villarreal,0,3,0,0,0.0,0.0,0,0,0,4,75.0,1,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0,1,0.0,24_25,27,08/03/2025,1,[]
Santiago Mouriño,DF,alaves,villarreal,1,90,0,0,0.0,0.0,0,0,0,18,72.2,0,0,0.0,0.0,0.0,9,1,0,0,0,4,2,2,6,1,1,0,15,96.0,29.0,0,1,1,50.0,24_25,27,08/03/2025,1,"[{'entradas': [7, 43.0]}, {'amarillas': [4, 6.0]}, {'rojas': [2, 1.0]}]"
Abdel Abqar,DF,alaves,villarreal,1,90,0,0,0.0,0.0,0,0,0,14,71.4,0,0,0.0,0.0,0.0,9,2,3,0,1,2,2,0,7,0,0,0,8,24.0,18.0,0,0,0,0.0,24_25,27,08/03/2025,1,"[{'amarillas': [2, 13.0]}]"
Nahuel Tenaglia,DF,alaves,villarreal,1,90,0,0,0.0,0.2,0,0,0,39,64.1,0,0,0.0,0.0,0.0,7,5,7,0,2,1,1,0,4,0,0,0,19,130.0,64.0,1,0,0,0.0,24_25,27,08/03/2025,1,"[{'entradas': [3, 96.0]}, {'intercepciones': [7, 47.0]}, {'amarillas': [6, 11.0]}]"
Antonio Sivera,PT,alaves,villarreal,1,57,0,0,0.0,0.0,0,0,0,21,57.1,0,1,0.0,0.0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,12,67.0,33.0,0,0,0,0.0,24_25,27,08/03/2025,1,"[{'rojas': [8, 1.0]}, {'porterias_cero': [7, 8.0]}, {'save_pct': [10, 73.2]}]"
Ayoze Pérez,DT,villarreal,alaves,1,90,0,0,1.4,0.1,7,6,1,15,80.0,0,0,0.0,0.0,0.0,3,0,0,0,0,1,0,1,1,3,1,2,25,95.0,19.0,0,1,0,100.0,24_25,27,08/03/2025,0,"[{'goles': [5, 19.0]}, {'goles_90': [4, 0.87]}, {'tiros_puerta': [8, 31.0]}, {'goles_por_tiro': [4, 0.25]}]"
Nicolas Pépé,DT,villarreal,alaves,1,90,0,0,0.2,0.8,2,1,1,50,72.0,0,0,0.0,0.0,0.0,7,1,1,0,0,2,0,2,0,6,3,2,35,166.0,65.0,1,0,0,0.0,24_25,27,08/03/2025,0,"[{'asistencias_90': [3, 0.36]}]"
Alex Baena,MC,villarreal,alaves,1,89,0,0,0.1,0.7,3,3,0,65,75.4,0,0,0.0,0.0,0.0,8,1,1,0,1,2,0,2,1,7,3,3,43,360.0,204.0,6,0,0,0.0,24_25,27,08/03/2025,0,"[{'asistencias': [2, 9.0]}, {'asistencias_90': [9, 0.31]}, {'pases_clave': [1, 95.0]}, {'corners': [4, 107.0]}]"
Denis Suárez,MC,villarreal,alaves,0,1,0,0,0.0,0.0,0,0,0,9,88.9,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,1,1,0,8,88.0,73.0,3,0,0,0.0,24_25,27,08/03/2025,0,[]
Daniel Parejo,MC,villarreal,alaves,1,90,0,0,0.1,0.0,2,2,0,89,94.4,0,0,0.0,0.0,0.0,3,1,3,0,2,1,0,1,1,0,0,0,61,337.0,162.0,2,1,0,100.0,24_25,27,08/03/2025,0,"[{'pases_ultimo_tercio': [9, 176.0]}]"
Pape Gueye,MC,villarreal,alaves,1,70,0,0,0.0,0.0,2,2,0,29,82.8,0,0,0.0,0.0,0.0,4,1,1,0,1,0,0,0,4,1,0,1,25,118.0,58.0,1,4,0,100.0,24_25,27,08/03/2025,0,"[{'rojas': [2, 2.0]}, {'faltas_recibidas': [9, 62.0]}]"
Thierno Barry,DT,villarreal,alaves,0,20,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0,1,0,100.0,24_25,27,08/03/2025,0,[]
Yeremi Pino,MC,villarreal,alaves,1,84,0,0,0.4,0.5,1,1,0,30,66.7,1,0,0.0,0.0,0.0,2,2,3,0,1,2,0,2,0,4,0,4,22,89.0,35.0,0,1,0,100.0,24_25,27,08/03/2025,0,"[{'asistencias': [8, 7.0]}, {'asistencias_90': [6, 0.33]}, {'amarillas': [6, 11.0]}]"
Santi Comesaña,MC,villarreal,alaves,0,6,0,0,0.5,0.0,2,2,0,13,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,1,0,1,11,71.0,53.0,1,1,1,50.0,24_25,27,08/03/2025,0,"[{'entradas': [5, 85.0]}]"
Sergi Cardona,DF,villarreal,alaves,1,70,0,0,0.0,0.0,0,0,0,33,81.8,0,0,0.0,0.0,0.0,3,1,2,0,2,0,0,0,4,4,0,3,21,100.0,34.0,0,1,1,50.0,24_25,27,08/03/2025,0,"[{'asistencias': [8, 7.0]}, {'centros_area': [7, 26.0]}, {'amarillas': [6, 11.0]}]"
Alfonso Pedraza,DF,villarreal,alaves,0,20,0,0,0.0,0.3,0,0,0,27,74.1,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,3,1,2,24,122.0,62.0,2,0,0,0.0,24_25,27,08/03/2025,0,"[{'rojas': [10, 1.0]}]"
Logan Costa,DF,villarreal,alaves,1,90,0,0,0.0,0.1,1,1,0,62,90.3,0,0,0.0,0.0,0.0,4,4,5,0,1,0,0,0,4,0,0,0,46,271.0,193.0,3,0,2,0.0,24_25,27,08/03/2025,0,[]
Willy Kambwala,DF,villarreal,alaves,1,89,0,0,0.0,0.1,1,1,0,49,98.0,0,0,0.0,0.0,0.0,4,1,0,0,0,1,1,0,4,0,0,0,34,196.0,110.0,0,1,3,25.0,24_25,27,08/03/2025,0,"[{'rojas': [8, 1.0]}]"
Tajon Buchanan,MC,villarreal,alaves,0,1,0,0,0.0,0.0,0,0,0,4,50.0,0,0,0.0,0.0,0.0,3,0,0,0,0,1,0,1,0,2,2,0,6,50.0,14.0,1,0,1,0.0,24_25,27,08/03/2025,0,"[{'goles_por_tiro': [1, 0.38]}]"
Juan Foyth,DF,villarreal,alaves,1,90,0,0,0.2,0.1,3,3,0,91,85.7,0,0,0.0,0.0,0.0,3,2,1,0,0,1,0,1,2,1,1,0,65,320.0,238.0,2,1,2,33.3,24_25,27,08/03/2025,0,[]
Diego Conde,PT,villarreal,alaves,1,90,0,0,0.0,0.0,0,0,0,28,89.3,0,0,1.0,66.7,1.1,6,0,0,0,0,0,0,0,0,0,0,0,18,94.0,57.0,0,0,0,0.0,24_25,27,08/03/2025,0,[]
