player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,local
Borja Iglesias,DT,celta,leganes,1,82,0,1,0.1,0.6,2,2,0,37,78.4,0,0,0.0,0.0,0.0,9,1,1,0,1,0,0,0,0,5,1,3,26,132.0,59.0,3,0,2,0.0,24_25,27,1
Pablo Durán,DT,celta,leganes,0,8,0,0,0.0,0.0,0,0,0,4,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,2,3.0,0.0,0,1,0,100.0,24_25,27,1
Alfon,DT,celta,leganes,1,90,1,1,0.7,0.1,3,1,2,20,85.0,0,0,0.0,0.0,0.0,15,0,1,0,1,0,0,0,1,2,0,2,21,138.0,90.0,4,0,0,0.0,24_25,27,1
Iago Aspas,DT,celta,leganes,1,58,0,0,0.0,0.1,0,0,0,34,64.7,0,0,0.0,0.0,0.0,2,1,1,0,1,2,0,2,0,1,1,0,30,105.0,25.0,0,0,0,0.0,24_25,27,1
Iker Losada,DT,celta,leganes,0,32,0,0,0.0,0.0,0,0,0,10,30.0,0,0,0.0,0.0,0.0,2,0,1,0,1,2,0,2,1,0,0,0,4,59.0,46.0,1,0,1,0.0,24_25,27,1
Óscar Mingueza,MC,celta,leganes,1,90,1,0,0.1,0.0,1,0,1,75,85.3,1,0,0.0,0.0,0.0,10,1,5,0,4,0,0,0,2,0,0,0,42,148.0,60.0,1,0,0,0.0,24_25,27,1
Hugo Sotelo,MC,celta,leganes,1,75,0,0,0.0,0.0,0,0,0,48,89.6,0,0,0.0,0.0,0.0,4,3,3,0,1,0,0,0,1,2,0,2,31,170.0,87.0,3,0,3,0.0,24_25,27,1
Javi Rodríguez,DF,celta,leganes,0,15,0,0,0.0,0.0,0,0,0,3,66.7,0,0,0.0,0.0,0.0,2,2,0,0,0,1,0,1,0,0,0,0,3,13.0,0.0,0,0,0,0.0,24_25,27,1
Damián Rodríguez,MC,celta,leganes,1,58,0,0,0.0,0.0,0,0,0,52,94.2,1,0,0.0,0.0,0.0,1,1,1,0,0,1,0,1,1,0,0,0,25,113.0,70.0,0,0,1,0.0,24_25,27,1
Fran Beltrán,MC,celta,leganes,0,32,0,0,0.0,0.0,0,0,0,29,79.3,0,0,0.0,0.0,0.0,2,0,1,0,1,1,1,0,0,0,0,0,13,80.0,45.0,0,1,1,50.0,24_25,27,1
Sergio Carreira,MC,celta,leganes,1,90,0,0,0.1,0.0,1,0,1,41,73.2,0,0,0.0,0.0,0.0,1,1,2,0,2,1,0,1,1,1,1,0,22,145.0,77.0,0,1,2,33.3,24_25,27,1
Marcos Alonso,DF,celta,leganes,1,90,0,0,0.0,0.0,0,0,0,103,90.3,0,0,0.0,0.0,0.0,6,1,3,0,3,0,0,0,5,1,1,0,67,405.0,287.0,2,5,3,62.5,24_25,27,1
Carl Starfelt,DF,celta,leganes,1,90,0,0,0.0,0.0,0,0,0,66,97.0,0,0,0.0,0.0,0.0,8,1,2,0,1,1,1,0,9,1,1,0,38,100.0,45.0,0,5,1,83.3,24_25,27,1
Jailson Siqueira,DF,celta,leganes,1,74,0,0,0.0,0.0,0,0,0,61,93.4,1,0,0.0,0.0,0.0,4,3,4,0,1,0,0,0,4,0,0,0,47,228.0,149.0,2,4,3,57.1,24_25,27,1
Ilaix Moriba,MC,celta,leganes,0,16,0,0,0.0,0.0,0,0,0,5,60.0,0,0,0.0,0.0,0.0,2,1,1,0,1,0,0,0,0,1,0,1,3,43.0,6.0,0,0,0,0.0,24_25,27,1
Vicente Guaita,PT,celta,leganes,1,90,0,0,0.0,0.0,0,0,0,33,84.8,0,0,1.0,83.3,1.3,9,0,0,0,0,0,0,0,3,0,0,0,13,66.0,40.0,0,0,0,0.0,24_25,27,1
Diego,DT,leganes,celta,1,66,0,0,0.1,0.0,3,1,2,11,81.8,0,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,1,1,0,14,75.0,37.0,1,2,8,20.0,24_25,27,0
Miguel,DT,leganes,celta,0,24,0,0,0.1,0.0,2,1,1,2,50.0,0,0,0.0,0.0,0.0,3,1,0,0,0,1,0,1,0,0,0,0,4,13.0,1.0,0,1,2,33.3,24_25,27,0
Óscar Rodríguez Arnaiz,MC,leganes,celta,1,90,0,0,0.0,0.1,1,1,0,43,81.4,0,0,0.0,0.0,0.0,3,1,1,0,0,2,0,2,0,5,1,4,36,274.0,156.0,5,1,1,50.0,24_25,27,0
Seydouba Cissé,MC,leganes,celta,1,67,0,0,0.0,0.0,0,0,0,55,89.1,0,0,0.0,0.0,0.0,5,1,1,0,0,1,0,1,0,1,1,0,45,196.0,59.0,1,3,1,75.0,24_25,27,0
Dani Raba,MC,leganes,celta,0,23,0,0,0.2,0.0,1,1,0,11,72.7,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,0,0,0,7,24.0,10.0,0,1,0,100.0,24_25,27,0
Yvan Neyou,MC,leganes,celta,1,90,0,0,0.0,0.0,0,0,0,54,83.3,0,0,0.0,0.0,0.0,3,2,1,0,0,2,0,2,2,3,1,2,45,196.0,67.0,1,1,0,100.0,24_25,27,0
Juan Cruz,MC,leganes,celta,1,90,0,1,0.0,0.4,0,0,0,48,72.9,0,0,0.0,0.0,0.0,11,0,2,0,2,1,0,1,0,6,5,1,42,187.0,107.0,3,1,2,33.3,24_25,27,0
Javi Hernández,DF,leganes,celta,1,90,0,0,0.1,0.0,1,1,0,35,88.6,0,0,0.0,0.0,0.0,4,0,1,0,1,1,0,1,3,1,0,1,31,157.0,91.0,1,1,1,50.0,24_25,27,0
Renato Tapia,DF,leganes,celta,1,89,0,0,0.1,0.0,1,0,1,38,81.6,0,0,0.0,0.0,0.0,9,2,1,0,0,1,0,1,6,5,4,0,30,162.0,100.0,2,2,0,100.0,24_25,27,0
Julián Chicco,MC,leganes,celta,0,1,0,0,0.0,0.0,1,1,0,3,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,4,15.0,11.0,0,0,0,0.0,24_25,27,0
Matija Nastasić,DF,leganes,celta,1,45,0,0,0.0,0.1,0,0,0,21,95.2,1,0,0.0,0.0,0.0,-1,1,1,0,0,0,0,0,1,0,0,0,13,34.0,13.0,0,2,0,100.0,24_25,27,0
Jorge Sáenz,DF,leganes,celta,0,45,0,0,0.0,0.0,0,0,0,23,91.3,1,0,0.0,0.0,0.0,2,2,1,0,0,2,1,1,4,0,0,0,18,87.0,46.0,0,1,1,50.0,24_25,27,0
Sergi,DF,leganes,celta,1,82,0,0,0.0,0.0,0,0,0,54,85.2,0,0,0.0,0.0,0.0,1,3,2,0,0,1,1,0,4,1,1,0,47,167.0,89.0,0,1,1,50.0,24_25,27,0
Duk,MC,leganes,celta,0,8,0,0,0.0,0.1,0,0,0,3,66.7,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,3,3,0,4,51.0,44.0,2,0,0,0.0,24_25,27,0
Valentin Rosier,DF,leganes,celta,1,90,1,0,0.4,0.0,2,0,2,54,81.5,0,0,0.0,0.0,0.0,10,0,1,0,1,0,0,0,2,1,1,0,42,194.0,108.0,3,0,0,0.0,24_25,27,0
Marko Dmitrović,PT,leganes,celta,1,90,0,0,0.0,0.0,0,0,0,30,40.0,0,0,2.0,50.0,1.6,2,0,0,0,0,0,0,0,1,0,0,0,25,142.0,69.0,0,0,0,0.0,24_25,27,0
