player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Samu Omorodion,DT,32,alaves,villarreal,1,90,1,0,0.7,0.0,3,2,1,13,76.9,0,0,0.0,0.0,0.0,9,1,0,0,0,1,0,1,2,2,1,1,11,44.0,29.0,2,0,1,0.0,23_24,24,10/02/2024,1,[]
Luis Rioja,DT,11,alaves,villarreal,1,85,0,0,0.1,0.1,3,3,0,29,79.3,0,0,0.0,0.0,0.0,6,1,0,0,0,1,0,1,1,5,3,2,24,192.0,65.0,2,0,0,0.0,23_24,24,10/02/2024,1,"[{'penaltis_marcados': [7, 3.0]}, {'centros_area': [10, 19.0]}]"
Abde Rebbach,DT,21,alaves,villarreal,0,5,0,0,0.0,0.0,0,0,0,5,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,4,18.0,9.0,0,0,0,0.0,23_24,24,10/02/2024,1,[]
Alex Sola,DT,7,alaves,villarreal,1,90,0,1,0.3,0.6,3,1,2,43,62.8,0,0,0.0,0.0,0.0,13,2,2,0,0,1,0,1,1,6,4,2,26,211.0,123.0,6,0,0,0.0,23_24,24,10/02/2024,1,[]
Jon Guridi,MC,18,alaves,villarreal,1,85,0,0,0.3,0.4,2,2,0,14,92.9,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,1,0,0,0,10,47.0,15.0,0,1,2,33.3,23_24,24,10/02/2024,1,[]
Ianis Hagi,MC,10,alaves,villarreal,0,5,0,0,0.0,0.0,0,0,0,4,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,1,13.0,0.0,0,0,0,0.0,23_24,24,10/02/2024,1,[]
Antonio Blanco,MC,8,alaves,villarreal,1,90,0,0,0.0,0.0,1,1,0,54,79.6,0,0,0.0,0.0,0.0,5,3,5,0,3,0,0,0,0,0,0,0,33,133.0,41.0,0,0,1,0.0,23_24,24,10/02/2024,1,"[{'rojas': [10, 1.0]}]"
Ander Guevara,MC,6,alaves,villarreal,1,90,0,0,0.1,0.0,3,2,1,40,72.5,0,0,0.0,0.0,0.0,3,1,0,0,0,1,1,0,0,0,0,0,25,102.0,58.0,1,1,2,33.3,23_24,24,10/02/2024,1,[]
Javi López,DF,27,alaves,villarreal,1,68,0,0,0.0,0.0,0,0,0,34,73.5,0,0,0.0,0.0,0.0,2,1,1,0,1,1,0,1,2,1,0,1,21,88.0,39.0,0,0,2,0.0,23_24,24,10/02/2024,1,[]
Carlos Vicente,DT,22,alaves,villarreal,0,22,0,0,0.4,0.0,1,1,0,8,37.5,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,3,16.0,0.0,0,1,2,33.3,23_24,24,10/02/2024,1,"[{'pases_clave': [7, 63.0]}, {'centros_area': [3, 29.0]}, {'corners': [8, 85.0]}, {'faltas_recibidas': [9, 62.0]}]"
Rafa Marín,DF,16,alaves,villarreal,1,14,0,0,0.0,0.0,0,0,0,5,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,6,32.0,22.0,0,0,1,0.0,23_24,24,10/02/2024,1,"[{'despejes': [10, 129.0]}]"
Rubén Duarte,DF,3,alaves,villarreal,0,76,0,0,0.0,0.0,1,1,0,45,88.9,0,0,0.0,0.0,0.0,5,0,0,0,0,4,3,1,4,0,0,0,38,179.0,78.0,0,1,3,25.0,23_24,24,10/02/2024,1,[]
Abdel Abqar,DF,5,alaves,villarreal,1,90,0,0,0.0,0.0,0,0,0,52,76.9,0,0,0.0,0.0,0.0,4,2,1,0,1,2,2,0,2,2,1,0,37,179.0,145.0,1,2,2,50.0,23_24,24,10/02/2024,1,"[{'amarillas': [2, 13.0]}]"
Andoni Gorosabel,DF,2,alaves,villarreal,1,90,0,0,0.0,0.0,0,0,0,45,80.0,0,0,0.0,0.0,0.0,4,2,3,0,2,1,0,1,5,1,0,0,31,152.0,92.0,4,4,2,66.7,23_24,24,10/02/2024,1,[]
Antonio Sivera,PT,1,alaves,villarreal,1,90,0,0,0.0,0.0,0,0,0,41,61.0,0,0,1.0,66.7,0.3,5,0,0,0,0,0,0,0,1,0,0,0,23,112.0,72.0,0,0,0,0.0,23_24,24,10/02/2024,1,"[{'porterias_cero': [8, 10.0]}, {'save_pct': [5, 75.6]}]"
Alexander Sørloth,DT,11,villarreal,alaves,1,90,0,0,0.3,0.6,2,1,1,22,72.7,1,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,2,3,3,0,16,149.0,51.0,1,4,0,100.0,23_24,24,10/02/2024,0,"[{'goles': [2, 23.0]}, {'goles_90': [1, 0.83]}, {'tiros_puerta': [4, 36.0]}, {'goles_por_tiro': [2, 0.29]}]"
Gerard Moreno,DT,7,villarreal,alaves,1,73,0,0,0.4,0.0,5,4,1,30,83.3,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,2,0,0,0,23,92.0,44.0,0,1,0,100.0,23_24,24,10/02/2024,0,"[{'pases_clave': [10, 53.0]}]"
Gonçalo Guedes,DT,9,villarreal,alaves,0,17,0,0,0.0,0.0,1,1,0,6,50.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,3,21.0,8.0,0,1,1,50.0,23_24,24,10/02/2024,0,[]
Alex Baena,MC,16,villarreal,alaves,1,78,0,1,0.4,0.1,1,1,0,33,63.6,0,0,0.0,0.0,0.0,7,0,2,0,2,0,0,0,1,3,0,2,20,149.0,101.0,3,0,1,0.0,23_24,24,10/02/2024,0,"[{'asistencias': [1, 14.0]}, {'asistencias_90': [2, 0.49]}, {'pases_clave': [3, 83.0]}, {'corners': [5, 95.0]}, {'amarillas': [7, 11.0]}, {'rojas': [10, 1.0]}]"
Alberto Moreno,MC,18,villarreal,alaves,0,12,0,0,0.0,0.0,0,0,0,6,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,4,18.0,11.0,0,0,0,0.0,23_24,24,10/02/2024,0,"[{'rojas': [2, 2.0]}]"
Francis Coquelin,MC,19,villarreal,alaves,1,79,0,0,0.0,0.0,0,0,0,39,94.9,0,0,0.0,0.0,0.0,5,1,1,0,1,0,0,0,3,0,0,0,23,117.0,67.0,1,1,2,33.3,23_24,24,10/02/2024,0,[]
Étienne Capoue,MC,6,villarreal,alaves,0,11,0,0,0.0,0.0,0,0,0,11,81.8,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,7,15.0,9.0,0,0,1,0.0,23_24,24,10/02/2024,0,[]
Santi Comesaña,MC,4,villarreal,alaves,1,90,0,0,0.0,0.1,0,0,0,38,84.2,0,0,0.0,0.0,0.0,3,1,2,0,2,3,2,1,2,2,0,2,21,117.0,77.0,2,2,2,50.0,23_24,24,10/02/2024,0,"[{'rojas': [2, 2.0]}]"
Ilias Akhomach,MC,27,villarreal,alaves,1,84,0,0,0.1,0.4,2,2,0,28,78.6,0,0,0.0,0.0,0.0,9,1,1,0,0,0,0,0,1,6,4,1,29,339.0,255.0,10,1,0,100.0,23_24,24,10/02/2024,0,"[{'regates_exitosos': [9, 57.0]}]"
José Luis Morales,MC,15,villarreal,alaves,0,6,0,0,0.0,0.0,0,0,0,2,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,23_24,24,10/02/2024,0,"[{'goles_por_tiro': [5, 0.27]}, {'apariciones_suplente': [10, 21.0]}]"
Jorge Cuenca,DF,5,villarreal,alaves,1,90,1,0,0.1,0.1,1,0,1,36,55.6,1,0,0.0,0.0,0.0,11,3,3,0,1,2,1,1,8,0,0,0,12,66.0,56.0,1,5,3,62.5,23_24,24,10/02/2024,0,[]
Yerson Mosquera,DF,2,villarreal,alaves,1,90,0,0,0.0,0.0,1,1,0,38,86.8,0,0,0.0,0.0,0.0,6,1,1,0,0,0,0,0,7,0,0,0,30,190.0,95.0,0,0,0,0.0,23_24,24,10/02/2024,0,[]
Raúl Albiol,DF,3,villarreal,alaves,1,90,0,0,0.0,0.0,0,0,0,53,71.7,0,0,0.0,0.0,0.0,3,0,0,0,0,2,1,1,4,0,0,0,23,110.0,45.0,0,2,0,100.0,23_24,24,10/02/2024,0,[]
