player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Anthony Lozano,DT,15,almeria,athletic,1,65,0,0,0.2,0.0,2,1,1,8,75.0,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,1,1,0,1,12,62.0,15.0,1,2,8,20.0,23_24,24,12/02/2024,1,[]
Marko Milovanović,DT,29,almeria,athletic,0,25,0,0,0.5,0.0,1,1,0,6,33.3,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,4,4.0,3.0,0,1,4,20.0,23_24,24,12/02/2024,1,[]
Largie Ramazani,DT,7,almeria,athletic,1,52,0,0,0.0,0.1,1,0,1,19,63.2,2,1,0.0,0.0,0.0,2,1,0,0,0,1,0,1,3,6,2,4,17,206.0,142.0,6,0,0,0.0,23_24,24,12/02/2024,1,"[{'amarillas': [7, 11.0]}, {'rojas': [2, 2.0]}]"
Sergio Arribas,DT,19,almeria,athletic,1,65,0,0,0.0,0.0,0,0,0,22,77.3,0,0,0.0,0.0,0.0,5,1,1,0,1,2,0,2,1,0,0,0,10,34.0,19.0,1,0,0,0.0,23_24,24,12/02/2024,1,[]
Adri Embarba,DT,10,almeria,athletic,0,25,0,0,0.0,0.0,0,0,0,6,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,0,2,4,16.0,1.0,0,1,2,33.3,23_24,24,12/02/2024,1,"[{'corners': [6, 94.0]}]"
Lucas Robertone,MC,5,almeria,athletic,1,90,0,0,0.0,0.0,1,0,1,30,66.7,0,0,0.0,0.0,0.0,6,1,0,0,0,1,0,1,2,1,0,1,19,76.0,34.0,0,0,2,0.0,23_24,24,12/02/2024,1,"[{'intercepciones': [2, 51.0]}, {'amarillas': [7, 11.0]}]"
Dion Lopy,MC,6,almeria,athletic,1,47,0,0,0.1,0.0,2,1,1,20,85.0,0,0,0.0,0.0,0.0,4,1,1,0,0,0,0,0,1,3,0,3,15,109.0,57.0,1,0,0,0.0,23_24,24,12/02/2024,1,[]
Gonzalo Melero,MC,11,almeria,athletic,0,43,0,0,0.0,0.5,0,0,0,11,63.6,1,0,0.0,0.0,0.0,2,1,2,0,1,0,0,0,1,0,0,0,8,58.0,32.0,1,1,0,100.0,23_24,24,12/02/2024,1,[]
Iddrisu Baba,MC,4,almeria,athletic,1,90,0,0,0.0,0.0,1,1,0,32,87.5,0,0,0.0,0.0,0.0,8,7,3,0,1,4,2,2,3,1,1,0,14,100.0,51.0,0,3,1,75.0,23_24,24,12/02/2024,1,[]
Álex Centelles,DF,20,almeria,athletic,1,65,0,0,0.0,0.0,0,0,0,34,64.7,0,0,0.0,0.0,0.0,7,1,2,0,1,0,0,0,2,0,0,0,20,97.0,59.0,1,1,1,50.0,23_24,24,12/02/2024,1,[]
