player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Raúl de Tomás,DT,rayo,betis,1,59,0,0,0.1,0.0,1,1,0,6,83.3,1,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,2,0,2,7,29.0,0.0,0,2,4,33.3,23_24,29,17/03/2024,1,[]
Sergio Camello,DT,rayo,betis,0,31,1,0,0.4,0.0,3,1,2,9,55.6,0,0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,2,1,1,0,6,39.0,29.0,1,0,1,0.0,23_24,29,17/03/2024,1,"[{'rojas': [2, 1.0]}]"
Álvaro García,DT,rayo,betis,1,59,0,0,0.0,0.0,0,0,0,19,73.7,0,0,0.0,0.0,0.0,6,2,1,0,0,1,0,1,0,2,1,1,10,68.0,32.0,1,0,1,0.0,23_24,29,17/03/2024,1,"[{'centros_area': [7, 21.0]}, {'rojas': [10, 1.0]}]"
Pathé Ciss,MC,rayo,betis,0,31,0,0,0.0,0.0,1,0,1,10,80.0,1,0,0.0,0.0,0.0,1,2,0,0,0,0,0,0,0,1,1,0,6,77.0,52.0,1,0,0,0.0,23_24,29,17/03/2024,1,"[{'amarillas': [3, 12.0]}]"
Jorge de Frutos,DT,rayo,betis,1,77,0,0,0.0,0.0,1,1,0,22,63.6,0,0,0.0,0.0,0.0,5,1,2,0,1,0,0,0,2,0,0,0,12,260.0,181.0,3,2,0,100.0,23_24,29,17/03/2024,1,"[{'apariciones_suplente': [6, 22.0]}]"
Andrei Ratiu,MC,rayo,betis,0,13,0,0,0.0,0.0,0,0,0,4,100.0,0,0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,2,1,0,1,3,9.0,0.0,0,0,0,0.0,23_24,29,17/03/2024,1,"[{'regates_exitosos': [5, 76.0]}]"
Isaac Palazón Camacho,MC,rayo,betis,1,90,0,0,0.0,0.0,0,0,0,28,60.7,0,0,0.0,0.0,0.0,6,1,5,0,4,0,0,0,3,2,0,1,20,79.0,42.0,0,0,2,0.0,23_24,29,17/03/2024,1,"[{'tiros_puerta': [10, 31.0]}, {'faltas_recibidas': [3, 76.0]}]"
Óscar Valentín,MC,rayo,betis,1,90,0,0,0.0,0.0,0,0,0,31,77.4,0,0,0.0,0.0,0.0,7,8,8,0,4,5,1,4,4,1,0,0,7,46.0,14.0,0,0,1,0.0,23_24,29,17/03/2024,1,"[{'entradas': [1, 107.0]}, {'rojas': [10, 1.0]}, {'faltas_cometidas': [2, 77.0]}]"
Unai López,MC,rayo,betis,1,77,0,0,0.1,0.0,1,1,0,36,55.6,0,0,0.0,0.0,0.0,4,6,4,0,3,0,0,0,0,2,1,1,11,54.0,19.0,1,1,1,50.0,23_24,29,17/03/2024,1,"[{'rojas': [8, 1.0]}]"
Óscar Trejo,DT,rayo,betis,0,13,0,0,0.0,0.0,0,0,0,9,66.7,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,2,0,2,4,61.0,2.0,0,1,2,33.3,23_24,29,17/03/2024,1,"[{'rojas': [10, 1.0]}]"
Pep Chavarría,DF,rayo,betis,1,67,0,0,0.0,0.0,0,0,0,37,73.0,0,0,0.0,0.0,0.0,6,1,0,0,0,2,0,2,2,3,0,2,13,56.0,35.0,1,0,0,0.0,23_24,29,17/03/2024,1,"[{'rojas': [10, 1.0]}]"
Alfonso Espino,DF,rayo,betis,0,23,0,0,0.0,0.0,0,0,0,11,63.6,0,0,0.0,0.0,0.0,2,1,2,0,1,2,0,2,1,1,0,1,1,9.0,0.0,0,0,0,0.0,23_24,29,17/03/2024,1,[]
