player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Abel Ruiz,DT,girona,rayo,1,66,0,0,0.0,0.0,0,0,0,14,100.0,1,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,11,47.0,13.0,1,1,1,50.0,24_25,7,25/09/2024,1,[]
Cristhian Stuani,DT,girona,rayo,0,24,0,0,0.9,0.0,2,2,0,1,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,2,4.0,3.0,0,0,1,0.0,24_25,7,25/09/2024,1,"[{'penaltis_marcados': [10, 3.0]}, {'goles_por_tiro': [2, 0.26]}, {'apariciones_suplente': [3, 26.0]}]"
Yaser Asprilla,DT,girona,rayo,1,74,0,0,0.5,0.0,2,2,0,37,78.4,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,2,1,0,32,233.0,139.0,6,0,0,0.0,24_25,7,25/09/2024,1,[]
Gabriel Osei Misehouy,DT,girona,rayo,0,16,0,0,0.1,0.0,1,1,0,9,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,7,23.0,2.0,0,0,0,0.0,24_25,7,25/09/2024,1,[]
Bryan Gil,MC,girona,rayo,1,66,0,0,0.0,0.0,0,0,0,32,90.6,0,0,0.0,0.0,0.0,4,1,2,0,1,3,0,3,0,4,0,3,27,124.0,33.0,0,0,0,0.0,24_25,7,25/09/2024,1,[]
Arnaut Danjuma,MC,girona,rayo,0,24,0,0,0.0,0.2,0,0,0,15,86.7,0,0,0.0,0.0,0.0,4,0,0,0,0,1,0,1,0,2,1,1,14,90.0,55.0,3,0,0,0.0,24_25,7,25/09/2024,1,[]
Yangel Herrera,MC,girona,rayo,1,90,0,0,0.1,0.0,1,1,0,68,83.8,1,0,0.0,0.0,0.0,6,4,5,0,3,0,0,0,0,2,0,0,54,220.0,88.0,2,1,0,100.0,24_25,7,25/09/2024,1,"[{'rojas': [8, 1.0]}, {'faltas_cometidas': [2, 72.0]}, {'faltas_recibidas': [3, 68.0]}]"
Iván Martín,MC,girona,rayo,1,90,0,0,0.0,0.2,1,1,0,85,92.9,0,0,0.0,0.0,0.0,7,3,1,0,0,2,0,2,0,0,0,0,55,338.0,172.0,2,0,1,0.0,24_25,7,25/09/2024,1,"[{'goles_por_tiro': [7, 0.26]}, {'pases_completados_pct': [9, 91.3]}]"
Viktor Tsyhankov,MC,girona,rayo,1,90,0,0,0.1,0.1,2,1,1,42,76.2,1,0,0.0,0.0,0.0,4,1,0,0,0,0,0,0,0,1,1,0,32,199.0,124.0,4,1,3,25.0,24_25,7,25/09/2024,1,"[{'corners': [10, 80.0]}]"
Miguel Gutiérrez,DF,girona,rayo,1,90,0,0,0.2,0.5,1,1,0,61,85.2,0,0,0.0,0.0,0.0,11,3,2,0,0,0,0,0,1,5,2,3,29,140.0,51.0,1,0,0,0.0,24_25,7,25/09/2024,1,"[{'centros_area': [6, 27.0]}]"
Daley Blind,DF,girona,rayo,1,90,0,0,0.0,0.0,0,0,0,111,87.4,0,0,0.0,0.0,0.0,7,1,0,0,0,0,0,0,1,0,0,0,94,542.0,318.0,3,0,0,0.0,24_25,7,25/09/2024,1,"[{'pases_ultimo_tercio': [2, 310.0]}]"
