player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Alexander Sørloth,DT,11,villarreal,rayo,1,83,2,0,0.6,0.0,5,2,3,10,60.0,0,0,0.0,0.0,0.0,16,0,0,0,0,0,0,0,0,2,1,1,14,96.0,48.0,3,1,0,100.0,23_24,33,28/04/2024,1,"[{'goles': [2, 23.0]}, {'goles_90': [1, 0.83]}, {'tiros_puerta': [4, 36.0]}, {'goles_por_tiro': [2, 0.29]}]"
José Luis Morales,DT,15,villarreal,rayo,0,7,0,0,0.0,0.0,1,0,1,3,100.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,1,0,0,0,0,0,2,22.0,14.0,1,1,0,100.0,23_24,33,28/04/2024,1,"[{'goles_por_tiro': [5, 0.27]}, {'apariciones_suplente': [10, 21.0]}]"
Gonçalo Guedes,DT,9,villarreal,rayo,1,83,0,0,0.3,0.1,2,2,0,25,64.0,0,0,0.0,0.0,0.0,4,1,0,0,0,2,0,2,0,0,0,0,24,186.0,140.0,6,0,0,0.0,23_24,33,28/04/2024,1,[]
Ramón Terrats,DT,20,villarreal,rayo,0,7,0,0,0.0,0.0,0,0,0,4,75.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,3,12.0,8.0,0,0,0,0.0,23_24,33,28/04/2024,1,[]
Alex Baena,MC,16,villarreal,rayo,1,90,0,3,0.0,0.6,2,2,0,39,79.5,0,0,0.0,0.0,0.0,21,2,1,0,0,0,0,0,0,5,5,0,21,233.0,181.0,7,0,0,0.0,23_24,33,28/04/2024,1,"[{'asistencias': [1, 14.0]}, {'asistencias_90': [2, 0.49]}, {'pases_clave': [3, 83.0]}, {'corners': [5, 95.0]}, {'amarillas': [7, 11.0]}, {'rojas': [10, 1.0]}]"
Daniel Parejo,MC,10,villarreal,rayo,1,83,0,0,0.0,0.0,0,0,0,38,92.1,0,0,0.0,0.0,0.0,6,1,0,0,0,2,2,0,0,1,0,0,21,176.0,71.0,0,0,1,0.0,23_24,33,28/04/2024,1,"[{'penaltis_marcados': [7, 3.0]}]"
Manu Trigueros,MC,14,villarreal,rayo,0,7,0,0,0.0,0.0,0,0,0,7,85.7,0,0,0.0,0.0,0.0,2,1,2,0,1,0,0,0,0,0,0,0,5,26.0,13.0,0,0,0,0.0,23_24,33,28/04/2024,1,[]
Santi Comesaña,MC,4,villarreal,rayo,1,90,0,0,0.0,0.0,0,0,0,29,93.1,0,0,0.0,0.0,0.0,5,2,1,0,0,1,0,1,1,2,1,1,17,98.0,28.0,1,0,0,0.0,23_24,33,28/04/2024,1,"[{'rojas': [2, 2.0]}]"
Ilias Akhomach,MC,27,villarreal,rayo,1,71,0,0,0.1,0.4,2,2,0,15,86.7,0,0,0.0,0.0,0.0,11,1,2,0,1,1,0,1,2,9,5,4,20,178.0,103.0,3,0,0,0.0,23_24,33,28/04/2024,1,"[{'regates_exitosos': [9, 57.0]}]"
Francis Coquelin,MC,19,villarreal,rayo,0,19,0,0,0.0,0.0,0,0,0,9,100.0,1,0,0.0,0.0,0.0,0,1,1,0,1,1,1,0,0,0,0,0,8,24.0,6.0,0,0,0,0.0,23_24,33,28/04/2024,1,[]
