player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Carlos Fernández,DT,real sociedad,girona,1,58,0,0,0.0,0.0,2,2,0,11,54.5,0,0,0.0,0.0,0.0,2,3,1,0,1,0,0,0,0,0,0,0,7,29.0,10.0,0,2,4,33.3,23_24,1,12/08/2023,1,[]
Ander Barrenetxea,DT,real sociedad,girona,0,32,0,0,0.0,0.0,0,0,0,16,62.5,0,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,3,2,1,19,119.0,46.0,1,0,1,0.0,23_24,1,12/08/2023,1,"[{'regates_exitosos': [7, 32.0]}]"
Mikel Oyarzabal,DT,real sociedad,girona,1,73,0,0,0.1,0.0,1,0,1,14,64.3,0,0,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,2,1,0,18,127.0,40.0,2,2,2,50.0,23_24,1,12/08/2023,1,"[{'penaltis_marcados': [6, 4.0]}, {'rojas': [8, 1.0]}]"
Umar Sadiq,DT,real sociedad,girona,0,17,0,0,0.2,0.0,2,2,0,3,33.3,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,2,1,1,4,36.0,0.0,0,3,0,100.0,23_24,1,12/08/2023,1,[]
Takefusa Kubo,DT,real sociedad,girona,1,73,1,0,0.3,0.0,3,2,1,17,76.5,0,0,0.0,0.0,0.0,10,2,1,0,0,1,0,1,0,2,1,0,19,189.0,78.0,2,0,0,0.0,23_24,1,12/08/2023,1,"[{'pases_clave': [6, 58.0]}]"
Mohamed Ali Cho,DT,real sociedad,girona,0,17,0,0,0.0,0.0,0,0,0,8,75.0,0,0,0.0,0.0,0.0,2,0,0,0,0,1,0,1,0,2,1,1,7,86.0,56.0,2,1,1,50.0,23_24,1,12/08/2023,1,[]
Beñat Turrientes,MC,real sociedad,girona,1,79,0,0,0.0,0.0,1,1,0,16,100.0,0,0,0.0,0.0,0.0,2,0,1,0,1,0,0,0,1,1,0,0,18,75.0,52.0,1,0,3,0.0,23_24,1,12/08/2023,1,[]
Olasagasti,MC,real sociedad,girona,0,11,0,0,0.2,0.0,1,1,0,7,71.4,1,0,0.0,0.0,0.0,0,1,2,0,1,0,0,0,0,0,0,0,3,7.0,2.0,0,0,0,0.0,23_24,1,12/08/2023,1,[]
Martín Zubimendi,MC,real sociedad,girona,1,90,0,0,0.0,0.0,1,1,0,47,89.4,0,0,0.0,0.0,0.0,5,1,0,0,0,1,1,0,1,2,1,1,34,214.0,101.0,2,0,0,0.0,23_24,1,12/08/2023,1,[]
Brais Méndez,MC,real sociedad,girona,1,90,0,0,0.1,0.3,2,2,0,45,77.8,0,0,0.0,0.0,0.0,5,3,2,0,1,1,0,1,0,3,1,1,33,119.0,31.0,0,0,1,0.0,23_24,1,12/08/2023,1,[]
Aihen Muñoz,DF,real sociedad,girona,1,90,0,1,0.0,0.2,1,1,0,43,69.8,0,0,0.0,0.0,0.0,7,4,2,0,0,1,1,0,1,4,1,2,31,191.0,115.0,2,0,0,0.0,23_24,1,12/08/2023,1,[]
