player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Kylian Mbappé,DT,9,real madrid,real sociedad,1,90,2,0,2.1,0.2,7,3,4,40,85.0,0,0,0.0,0.0,0.0,15,0,0,0,0,0,0,0,0,3,1,2,27,98.0,42.0,0,0,0,0.0,24_25,38,24/05/2025,1,"[{'goles': [1, 31.0]}, {'goles_90': [2, 0.96]}, {'penaltis_marcados': [2, 7.0]}, {'tiros_puerta': [1, 75.0]}, {'regates_exitosos': [3, 83.0]}, {'rojas': [8, 1.0]}]"
Brahim Díaz,DT,21,real madrid,real sociedad,1,54,0,0,0.0,0.5,0,0,0,37,83.8,0,0,0.0,0.0,0.0,3,0,1,0,1,0,0,0,0,0,0,0,23,68.0,17.0,0,0,1,0.0,24_25,38,24/05/2025,1,"[{'asistencias_90': [5, 0.35]}]"
Vinicius Júnior,DT,7,real madrid,real sociedad,0,36,0,1,0.2,0.1,1,0,1,27,92.6,0,0,0.0,0.0,0.0,6,0,0,0,0,2,0,2,0,1,0,1,21,100.0,64.0,2,0,0,0.0,24_25,38,24/05/2025,1,"[{'asistencias': [4, 8.0]}, {'asistencias_90': [8, 0.32]}, {'pases_clave': [9, 58.0]}, {'regates_exitosos': [4, 82.0]}, {'rojas': [8, 1.0]}, {'faltas_recibidas': [2, 70.0]}]"
Arda Güler,DT,15,real madrid,real sociedad,1,90,0,0,0.0,0.7,1,0,1,92,90.2,0,0,0.0,0.0,0.0,10,3,1,0,0,1,0,1,0,4,2,2,62,260.0,128.0,1,1,1,50.0,24_25,38,24/05/2025,1,"[{'asistencias': [4, 5.0]}, {'asistencias_90': [8, 0.4]}, {'pases_clave': [2, 40.0]}, {'corners': [7, 48.0]}]"
Dani Ceballos,MC,19,real madrid,real sociedad,1,90,0,0,0.0,0.0,0,0,0,114,94.7,0,0,0.0,0.0,0.0,6,2,7,0,5,1,1,0,0,1,0,1,88,379.0,216.0,2,0,0,0.0,24_25,38,24/05/2025,1,"[{'pases_completados_pct': [2, 94.3]}]"
Federico Valverde,MC,8,real madrid,real sociedad,1,90,0,0,0.0,0.0,2,2,0,86,95.3,0,0,0.0,0.0,0.0,8,2,3,0,1,1,1,0,1,1,1,0,63,217.0,108.0,1,0,1,0.0,24_25,38,24/05/2025,1,"[{'pases_ultimo_tercio': [4, 232.0]}, {'intercepciones': [2, 55.0]}]"
Luka Modrić,MC,10,real madrid,real sociedad,1,86,0,0,0.0,0.1,0,0,0,124,88.7,0,0,0.0,0.0,0.0,7,0,0,0,0,1,0,1,0,2,1,1,91,431.0,213.0,4,0,0,0.0,24_25,38,24/05/2025,1,"[{'asistencias_90': [10, 0.3]}, {'pases_clave': [5, 66.0]}, {'pases_ultimo_tercio': [6, 225.0]}, {'corners': [6, 98.0]}]"
Chema,MC,36,real madrid,real sociedad,0,4,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,24_25,38,24/05/2025,1,[]
Fran Garcia,DF,20,real madrid,real sociedad,1,90,0,0,0.0,0.0,1,1,0,69,84.1,0,0,0.0,0.0,0.0,6,4,6,0,4,2,0,2,1,1,0,1,52,193.0,102.0,3,1,0,100.0,24_25,38,24/05/2025,1,"[{'asistencias_90': [9, 0.32]}]"
Raúl Asencio,DF,35,real madrid,real sociedad,1,90,0,0,0.0,0.0,1,0,1,41,100.0,0,0,0.0,0.0,0.0,8,1,0,0,0,2,1,1,3,0,0,0,32,101.0,46.0,0,1,0,100.0,24_25,38,24/05/2025,1,"[{'pases_completados_pct': [3, 93.8]}]"
