player,posicion,dorsal,equipo_propio,equipo_rival,titular,min_partido,gol_partido,asist_partido,xg_partido,xag,tiros,tiro_fallado_partido,tiro_puerta_partido,pases_totales,pases_completados_pct,amarillas,rojas,goles_en_contra,porcentaje_paradas,psxg,puntos_fantasy,entradas,duelos,duelos_ganados,duelos_perdidos,bloqueos,bloqueo_tiros,bloqueo_pase,despejes,regates,regates_completados,regates_fallidos,conducciones,distancia_conduccion,metros_avanzados_conduccion,conducciones_progresivas,duelos_aereos_ganados,duelos_aereos_perdidos,duelos_aereos_ganados_pct,temporada,jornada,fecha_partido,local,roles
Rodrygo,DT,11,real madrid,athletic,1,80,2,0,0.6,0.2,2,0,2,24,79.2,0,0,0.0,0.0,0.0,17,1,0,0,0,0,0,0,2,6,2,4,21,204.0,113.0,5,0,0,0.0,23_24,30,31/03/2024,1,"[{'tiros_puerta': [6, 35.0]}, {'regates_exitosos': [8, 60.0]}]"
Luka Modrić,DT,10,real madrid,athletic,0,10,0,0,0.0,0.0,0,0,0,11,72.7,0,0,0.0,0.0,0.0,2,1,1,0,1,0,0,0,0,0,0,0,6,34.0,12.0,0,0,0,0.0,23_24,30,31/03/2024,1,"[{'asistencias_90': [9, 0.32]}, {'pases_clave': [8, 55.0]}]"
Brahim Díaz,DT,21,real madrid,athletic,1,71,0,1,0.4,0.1,3,3,0,24,75.0,0,0,0.0,0.0,0.0,9,0,0,0,0,1,0,1,0,4,1,3,25,140.0,84.0,5,0,0,0.0,23_24,30,31/03/2024,1,"[{'asistencias_90': [5, 0.35]}]"
Joselu,DT,14,real madrid,athletic,0,19,0,0,0.0,0.0,0,0,0,1,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,3,12.0,0.0,0,0,0,0.0,23_24,30,31/03/2024,1,[]
Jude Bellingham,MC,5,real madrid,athletic,1,90,0,1,0.0,0.6,1,1,0,64,90.6,0,0,0.0,0.0,0.0,12,1,3,0,3,4,0,4,2,2,0,2,35,240.0,145.0,4,1,1,50.0,23_24,30,31/03/2024,1,"[{'goles': [3, 19.0]}, {'goles_90': [3, 0.74]}, {'tiros_puerta': [8, 34.0]}, {'goles_por_tiro': [2, 0.29]}, {'rojas': [10, 1.0]}, {'faltas_recibidas': [5, 72.0]}]"
Federico Valverde,MC,15,real madrid,athletic,1,80,0,0,0.0,0.1,1,0,1,46,80.4,0,0,0.0,0.0,0.0,7,0,3,0,3,2,0,2,2,2,2,0,24,146.0,36.0,1,1,0,100.0,23_24,30,31/03/2024,1,"[{'pases_ultimo_tercio': [6, 229.0]}, {'intercepciones': [8, 43.0]}]"
Lucas Vázquez,MC,17,real madrid,athletic,0,10,0,0,0.0,0.0,0,0,0,3,100.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,7.0,0.0,0,0,0,0.0,23_24,30,31/03/2024,1,"[{'asistencias_90': [4, 0.38]}]"
Toni Kroos,MC,8,real madrid,athletic,1,80,0,0,0.0,0.0,1,0,1,81,90.1,0,0,0.0,0.0,0.0,8,2,2,0,1,0,0,0,0,1,1,0,46,161.0,43.0,0,1,0,100.0,23_24,30,31/03/2024,1,"[{'asistencias': [7, 8.0]}, {'asistencias_90': [7, 0.34]}, {'pases_clave': [5, 62.0]}, {'pases_completados_pct': [7, 91.5]}, {'pases_ultimo_tercio': [1, 327.0]}, {'corners': [10, 89.0]}]"
Eduardo Camavinga,MC,12,real madrid,athletic,0,10,0,0,0.0,0.0,0,0,0,13,84.6,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,2,2,0,9,30.0,13.0,0,0,0,0.0,23_24,30,31/03/2024,1,"[{'pases_completados_pct': [10, 90.7]}, {'entradas': [8, 76.0]}, {'faltas_recibidas': [8, 68.0]}]"
Aurélien Tchouaméni,MC,18,real madrid,athletic,1,90,0,0,0.0,0.0,1,1,0,77,88.3,1,0,0.0,0.0,0.0,5,2,0,0,0,1,1,0,1,0,0,0,40,197.0,88.0,0,4,0,100.0,23_24,30,31/03/2024,1,"[{'pases_completados_pct': [6, 92.3]}, {'pases_ultimo_tercio': [9, 176.0]}, {'intercepciones': [9, 46.0]}]"
